Q9 v2.3 - Lista de propostas/votacoes

Q9 v2.3 - Propostas disponiveis
ano  | id_votacao  | proposicao                                             | sim | nao | outros | total
2026 | 2595984-26  | REQ 1066/2026                                          | 126 | 262 |        | 388  
2026 | 2162116-181 | REQ 2741/2019                                          | 386 | 1   | 1      | 388  
2026 | 2578879-31  | REQ 4635/2025                                          | 148 | 237 | 2      | 387  
2026 | 2578968-7   | REQ 4565/2025                                          | 355 | 29  | 1      | 385  
2026 | 2557414-24  | ERD 1 => MPV 1313/2025                                 | 22  | 362 | 1      | 385  
2026 | 2462009-79  | REQ 740/2026                                           | 232 | 151 | 2      | 385  
2026 | 589982-126  | REQ 8557/2013 => PL 6240/2013                          | 258 | 119 | 7      | 384  
2026 | 2503998-75  | REQ 2092/2025                                          | 381 | 2   | 1      | 384  
2026 | 2608575-64  | REQ 1405/2026                                          | 342 | 39  | 1      | 382  
2026 | 2595984-31  | REQ 1066/2026                                          | 124 | 257 | 1      | 382  
2026 | 2601040-31  | REQ 309/2026                                           | 317 | 61  | 3      | 381  
2026 | 2600278-9   | REQ 96/2026                                            | 273 | 103 | 2      | 378  
2026 | 2563330-59  | REQ 4201/2025                                          | 97  | 258 | 21     | 376  
2026 | 2433663-44  | PRLP 1 => PL 1822/2024                                 | 99  | 276 | 1      | 376  
2026 | 2611717-38  | REQ 1635/2026                                          | 284 | 86  | 4      | 374  
2026 | 2596663-47  | REQ 1304/2026                                          | 213 | 152 | 4      | 369  
2026 | 2581700-31  | DTQ 1 => MPV 1323/2025                                 | 268 | 99  | 1      | 368  
2026 | 2503998-70  | REQ 2092/2025                                          | 60  | 306 | 1      | 367  
2026 | 2613731-65  | PRLP 1 => PL 1625/2026                                 | 181 | 182 | 2      | 365  
2026 | 589982-129  | REQ 8557/2013 => PL 6240/2013                          | 235 | 121 | 8      | 364  
2026 | 2503833-43  | REQ 1155/2026                                          | 44  | 318 | 1      | 363  
2026 | 2368697-49  | REQ 2122/2023                                          | 119 | 241 | 1      | 361  
2026 | 2601223-8   | REQ 284/2026                                           | 337 | 19  | 1      | 357  
2026 | 2572994-8   | (sem proposicao vinculada)                             | 315 | 38  | 1      | 354  
2026 | 2600838-46  | REQ 226/2026                                           | 105 | 232 | 1      | 338  
2026 | 2469569-38  | PRLP 1 => PL 4397/2024                                 | 300 | 36  | 2      | 338  
2026 | 2600708-7   | REQ 176/2026                                           | 305 | 22  | 1      | 328  
2026 | 2586587-30  | REQ 5011/2025                                          | 94  | 227 |        | 321  
2026 | 2562289-8   | (sem proposicao vinculada)                             | 272 | 18  | 1      | 291  
2026 | 2467936-42  | PRL 1 CCJC => PL 4322/2024                             | 21  | 33  | 1      | 55   
2026 | 2348972-48  | PRL 1 CCJC => PL 580/2023                              | 28  | 23  |        | 51   
2025 | 2487436-169 | REQ 1087/2025                                          | 493 |     | 1      | 494  
2025 | 2270800-135 | REQ 271/2021                                           | 353 | 134 | 1      | 488  
2025 | 2579832-62  | REQ 4666/2025                                          | 370 | 110 | 4      | 484  
2025 | 2562149-7   | (sem proposicao vinculada)                             | 311 | 163 | 8      | 482  
2025 | 2515648-44  | REQ 2398/2025                                          | 383 | 98  | 1      | 482  
2025 | 2270800-175 | REQ 271/2021                                           | 314 | 168 |        | 482  
2025 | 2383019-54  | REQ 1691/2025                                          | 270 | 207 | 1      | 478  
2025 | 2270800-160 | REQ 271/2021                                           | 344 | 133 |        | 477  
2025 | 2454495-144 | REQ 4812/2024                                          | 404 | 67  | 4      | 475  
2025 | 2270800-151 | REQ 271/2021                                           | 317 | 156 | 1      | 474  
2025 | 2480979-96  | REQ 4974/2024                                          | 471 |     |        | 471  
2025 | 2270800-165 | REQ 271/2021                                           | 296 | 174 |        | 470  
2025 | 2270800-148 | REQ 271/2021                                           | 322 | 147 | 1      | 470  
2025 | 2454495-171 | REQ 4812/2024                                          | 342 | 126 | 1      | 469  
2025 | 2270800-130 | REQ 271/2021                                           | 346 | 122 | 1      | 469  
2025 | 2503292-9   | REQ 1691/2025                                          | 268 | 199 | 1      | 468  
2025 | 2284555-280 | REQ 1198/2021                                          | 446 | 20  | 1      | 467  
2025 | 2454495-166 | REQ 4812/2024                                          | 367 | 97  | 2      | 466  
2025 | 2438459-146 | REQ 2262/2024                                          | 221 | 242 | 3      | 466  
2025 | 2408145-17  | REC 38/2023                                            | 291 | 173 | 2      | 466  
2025 | 2454495-154 | REQ 4812/2024                                          | 318 | 144 | 2      | 464  
2025 | 2595686-31  | EMP 1 => PRC 86/2025                                   | 318 | 141 | 4      | 463  
2025 | 2579832-61  | REQ 4666/2025                                          | 156 | 306 | 1      | 463  
2025 | 2494565-52  | RPD 1 => SAP 1/2025                                    | 315 | 143 | 5      | 463  
2025 | 2485066-33  | REQ 645/2025                                           | 347 | 114 | 1      | 462  
2025 | 2270800-126 | REQ 271/2021                                           | 137 | 324 | 1      | 462  
2025 | 2515300-38  | PAR 1 => MPV 1300/2025                                 | 423 | 36  | 1      | 460  
2025 | 2515648-41  | REQ 2398/2025                                          | 353 | 102 | 2      | 457  
2025 | 2398530-60  | REQ 3989/2023                                          | 104 | 350 | 3      | 457  
2025 | 2570007-66  | REQ 4320/2025                                          | 445 | 10  | 1      | 456  
2025 | 2454495-151 | REQ 4812/2024                                          | 117 | 335 | 4      | 456  
2025 | 2383019-86  | REQ 1691/2025                                          | 200 | 254 | 2      | 456  
2025 | 2411961-13  | REQ 4248/2023                                          | 347 | 107 | 1      | 455  
2025 | 2515648-36  | REQ 2398/2025                                          | 99  | 354 | 1      | 454  
2025 | 2515648-29  | REQ 2398/2025                                          | 104 | 349 | 1      | 454  
2025 | 2383019-50  | REQ 1691/2025                                          | 298 | 154 | 1      | 453  
2025 | 2157806-137 | REQ 3074/2019                                          | 330 | 118 | 4      | 452  
2025 | 2515300-36  | PAR 1 => MPV 1300/2025                                 | 436 | 14  | 1      | 451  
2025 | 2398530-57  | REQ 3989/2023                                          | 100 | 350 | 1      | 451  
2025 | 2595686-29  | EMP 1 => PRC 86/2025                                   | 226 | 220 | 4      | 450  
2025 | 2579832-49  | REQ 4666/2025                                          | 114 | 335 | 1      | 450  
2025 | 2561475-6   | REQ 3818/2025                                          | 332 | 117 | 1      | 450  
2025 | 2270325-88  | REQ 3612/2023                                          | 348 | 100 | 2      | 450  
2025 | 2515300-71  | PAR 1 => MPV 1300/2025                                 | 322 | 125 | 2      | 449  
2025 | 2554285-48  | REQ 4016/2025                                          | 325 | 119 | 4      | 448  
2025 | 2500260-26  | REQ 1658/2025                                          | 61  | 385 | 2      | 448  
2025 | 2438459-141 | REQ 2262/2024                                          | 423 | 23  | 2      | 448  
2025 | 2579832-54  | REQ 4666/2025                                          | 335 | 111 | 1      | 447  
2025 | 2543003-8   | REQ 3205/2025                                          | 323 | 123 | 1      | 447  
2025 | 2383019-46  | REQ 1691/2025                                          | 156 | 288 | 3      | 447  
2025 | 604557-191  | REQ 8795/2018 => PL 6969/2013                          | 378 | 66  | 2      | 446  
2025 | 2515300-73  | PAR 1 => MPV 1300/2025                                 | 352 | 93  | 1      | 446  
2025 | 2501358-48  | REQ 4187/2025                                          | 246 | 199 | 1      | 446  
2025 | 2164336-110 | RPD 1 => PLP 453/2017                                  | 427 | 18  | 1      | 446  
2025 | 2558261-8   | REQ 3753/2025                                          | 350 | 94  | 1      | 445  
