ano_dados;id_votacao;sigla_bancada;orientacao;sigla_orgao;descricao
2023;2374400-101;OPOSICAO;Liberado;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;NOVO;Sim;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;MINORIA;Sim;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;BLMDBPSDREPPODE;Liberado;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;GOVERNO;Nao;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;MAIORIA;Nao;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;PL;Sim;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;BLUNIPPFDRPSDBCID...;Nao;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2374400-101;FDRPSOL-REDE;Nao;PLEN;"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387."
2023;2414600-8;FDRPSOL-REDE;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;GOVERNO;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;PL;Nao;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;NOVO;Nao;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;MAIORIA;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;OPOSICAO;Liberado;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;FDRPT-PCDOB-PV;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;MINORIA;Nao;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;BLUNIPPFDRPSDBCID...;Sim;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;2414600-8;BLMDBPSDREPPODE;Liberado;PLEN;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 307; não: 115; abstenção: 1; total: 423."
2023;1548579-144;NOVO;Sim;PLEN;"Mantido o texto. Sim: 301; não: 81; total: 382."
