Q7 - ranking de beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 561 |          429.18 |         4676.50
      2024 |                 575 |          239.33 |         6949.20
      2025 |                 562 |          389.79 |        12292.90
      2026 |                 552 |           96.38 |         2516.20
(4 rows)


Tabela principal - top 30 por beneficio
 ano_dados | id_deputado |           nome           | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
 GLOBAL    |      229225 | Missionária Michele Collins         | PE       | PP            |   180903.67 |             124 |                     0 |             31 |     189.1 |     0.00104530770437106113
 GLOBAL    |       74696 | Alberto Mourão                      | SP       | MDB           |   737490.97 |             105 |                     0 |            301 |     187.6 |     0.00025437599595287248
 GLOBAL    |      141431 | Fernando Coelho Filho               | PE       | UNIAO         |  1437723.04 |              95 |                     0 |            434 |     185.9 |     0.00012930167690711836
 GLOBAL    |      178905 | Fabio Garcia                        | MT       | UNIAO         |   137218.42 |             113 |                     0 |            135 |     183.0 |     0.00133364019203835753
 GLOBAL    |      234788 | Heloísa Helena                      | RJ       | REDE          |   238837.86 |             117 |                     0 |             64 |     181.9 |     0.00076160454628089533
 GLOBAL    |      231911 | Lenir de Assis                      | PR       | PT            |   484733.80 |             106 |                     0 |            216 |     180.6 |     0.00037257562810763351
 GLOBAL    |      204549 | AJ Albuquerque                      | CE       | PP            |  1083074.74 |              91 |                     0 |            421 |     178.6 |     0.00016490090056019587
 GLOBAL    |       74454 | Eunício Oliveira                    | CE       | MDB           |  1781221.46 |              90 |                     0 |            421 |     177.1 | 0.000099426154454707726236
 GLOBAL    |      235088 | Ribeiro Neto                        | MA       | SOLIDARIEDADE |   143072.67 |             105 |                     0 |            114 |     168.9 |     0.00118051896284594395
 GLOBAL    |      175765 | Ribamar Silva                       | SP       | PODE          |   619155.16 |              92 |                     0 |            283 |     166.3 |     0.00026859180177065794
 GLOBAL    |      179001 | Márcio Biolchi                      | RS       | MDB           |  1583740.14 |              77 |                     0 |            367 |     152.2 | 0.000096101624348550008968
 GLOBAL    |      154178 | Milton Vieira                       | SP       | REPUBLICANOS  |   282699.73 |              88 |                     0 |            103 |     142.3 |     0.00050336093352476849
 GLOBAL    |      227660 | Nitinho                             | SE       | PSD           |   685527.08 |              77 |                     0 |            196 |     135.1 |     0.00019707463635134589
 GLOBAL    |      234673 | Vanderlan Alves                     | CE       | SOLIDARIEDADE |   192921.82 |              82 |                     0 |             75 |     130.5 |     0.00067643981380644242
 GLOBAL    |       73806 | Roseana Sarney                      | MA       | MDB           |   833031.00 |              76 |                     0 |            142 |     128.2 |     0.00015389583340836055
 GLOBAL    |      160591 | Vinicius Gurgel                     | AP       | PL            |  1992801.19 |              63 |                     0 |            332 |     127.7 | 0.000064080652220003943294
 GLOBAL    |      229106 | Carla Ayres                         | SC       | PT            |   129327.56 |              82 |                     0 |             43 |     127.3 |     0.00098432228985067065
 GLOBAL    |      233594 | Rafael Fera                         | RO       | PODE          |   448288.43 |              71 |                     0 |            171 |     123.6 |     0.00027571534692519278
 GLOBAL    |      103758 | Luciano Azevedo                     | RS       | PSD           |   722353.16 |              49 |                     0 |            330 |     106.5 |     0.00014743480875753350
 GLOBAL    |      204431 | Marcos Aurélio Sampaio              | PI       | MDB           |  1831249.00 |              46 |                     0 |            355 |     104.5 | 0.000057064877578090145032
 GLOBAL    |       74646 | Aécio Neves                         | MG       | PSDB          |  1448036.34 |              42 |                     0 |            406 |     103.6 | 0.000071545165779472081481
 GLOBAL    |      227310 | Silvio Antonio                      | MA       | PL            |   364432.69 |              60 |                     0 |            123 |     102.3 |     0.00028071027327433222
 GLOBAL    |      204563 | Josimar Maranhãozinho               | MA       | PL            |  1482878.87 |              51 |                     0 |            236 |     100.1 | 0.000067503827875030682715
 GLOBAL    |      204489 | Robério Monteiro                    | CE       | PSB           |   926319.71 |              44 |                     0 |            306 |      96.6 |     0.00010428364954039464
 GLOBAL    |      171623 | Fabio Reis                          | SE       | PSD           |   809905.25 |              44 |                     0 |            299 |      95.9 |     0.00011840891264749796
 GLOBAL    |      160641 | Professora Marcivania               | AP       | PCDOB         |   336171.13 |              52 |                     0 |            149 |      92.9 |     0.00027634734725733289
 GLOBAL    |      115200 | Raniery Paulino                     | PB       | REPUBLICANOS  |   198107.21 |              54 |                     0 |             93 |      90.3 |     0.00045581379900307515
 GLOBAL    |      160552 | Danrlei de Deus Hinterholz          | RS       | PSD           |   649339.10 |              39 |                     0 |            282 |      86.7 |     0.00013352037479338608
 GLOBAL    |      229585 | Elisangela Araujo                   | BA       | PT            |   270131.28 |              49 |                     0 |             68 |      80.3 |     0.00029726287159339711
 GLOBAL    |      227991 | Dr Flávio                           | RJ       | PL            |   332430.30 |              42 |                     0 |            141 |      77.1 |     0.00023192831700359444
 GLOBAL    |      160561 | Missionário José Olimpio            | SP       | PL            |   395846.83 |              40 |                     0 |            145 |      74.5 |     0.00018820410914999622
 GLOBAL    |      226075 | Priscila Costa                      | CE       | PL            |   170230.05 |              43 |                     0 |             89 |      73.4 |     0.00043118121624237319
 GLOBAL    |      230957 | João Cury                           | SP       | MDB           |   692751.12 |              33 |                     0 |            235 |      73.0 |     0.00010537694980558097
 GLOBAL    |      160541 | Arthur Lira                         | AL       | PP            |   531928.23 |              33 |                     0 |            225 |      72.0 |     0.00013535660628502458
 GLOBAL    |      222565 | Soldado Noelio                      | CE       | UNIAO         |    72171.34 |              45 |                     0 |             36 |      71.1 |     0.00098515560331843638
 GLOBAL    |      217480 | Jones Moura                         | RJ       | PSD           |   275949.59 |              41 |                     0 |             87 |      70.2 |     0.00025439428991360342
 GLOBAL    |      164360 | Carmen Zanotto                      | SC       | CIDADANIA     |   116920.36 |              41 |                     0 |             86 |      70.1 |     0.00059955340541202576
 GLOBAL    |       73788 | Ricardo Barros                      | PR       | PP            |   445465.70 |              31 |                     0 |            233 |      69.8 |     0.00015668995390666442
 GLOBAL    |      234253 | Lucas Abrahao                       | AP       | REDE          |    84345.50 |              44 |                     0 |             37 |      69.7 |     0.00082636299506197722
 GLOBAL    |      178886 | Juscelino Filho                     | MA       | PSDB          |   387963.68 |              35 |                     0 |            150 |      67.5 |     0.00017398535862944696
 GLOBAL    |      234310 | Ricardo Galvão                      | SP       | REDE          |   156472.52 |              41 |                     0 |             55 |      67.0 |     0.00042819020234351693
 GLOBAL    |      233592 | Paulo Lemos                         | AP       | PT            |    83989.33 |              34 |                     0 |            155 |      66.5 |     0.00079176723995774225
 GLOBAL    |      178909 | Hélio Leite                         | PA       | UNIAO         |   763163.11 |              31 |                     0 |            188 |      65.3 | 0.000085564932508333637877
 GLOBAL    |      220008 | Eliza Virgínia                      | PB       | PP            |   179732.24 |              38 |                     0 |             52 |      62.2 |     0.00034607035443390679
 GLOBAL    |      204448 | Luiz Antonio Corrêa                 | RJ       | PP            |   499029.25 |              30 |                     0 |            167 |      61.7 |     0.00012364004715154472
 GLOBAL    |      204376 | Coronel Armando                     | SC       | PP            |   181874.33 |              30 |                     0 |            114 |      56.4 |     0.00031010423516061887
 GLOBAL    |      204531 | Guilherme Derrite                   | SP       | PP            |    64848.18 |              34 |                     0 |             50 |      56.0 |     0.00086355546138688858
 GLOBAL    |      228837 | Juliana Kolankiewicz                | MT       | MDB           |   131844.31 |              31 |                     0 |             63 |      52.8 |     0.00040047234499539646
 GLOBAL    |      228797 | Júlio Oliveira                      | TO       | PP            |   136758.01 |              30 |                     0 |             66 |      51.6 |     0.00037730879529469608
 GLOBAL    |       74065 | Fatima Pelaes                       | AP       | REPUBLICANOS  |   240537.04 |              29 |                     0 |             74 |      50.9 |     0.00021160982109034018
 GLOBAL    |      227275 | Mariana Carvalho                    | MA       | REPUBLICANOS  |   188355.18 |              31 |                     0 |             42 |      50.7 |     0.00026917231583437206
 GLOBAL    |      229082 | Lucyana Genésio                     | MA       | PDT           |   188221.02 |              30 |                     0 |             49 |      49.9 |     0.00026511385391493469
 GLOBAL    |      227370 | Felipe Saliba                       | MG       | PRD           |   146797.99 |              30 |                     0 |             38 |      48.8 |     0.00033242961977885392
 GLOBAL    |      228941 | Daniel José                         | SP       | PODE          |   144400.00 |              29 |                     0 |             50 |      48.5 |     0.00033587257617728532
 GLOBAL    |      226410 | Márcio Correa                       | GO       | MDB           |   128836.37 |              25 |                     0 |            105 |      48.0 |     0.00037256560395174127
 GLOBAL    |      143084 | Tiago Dimas                         | TO       | PODE          |   367419.27 |              22 |                     0 |            142 |      47.2 |     0.00012846359419308628
 GLOBAL    |      208297 | Katia Dias                          | MG       | REPUBLICANOS  |   152277.87 |              27 |                     0 |             65 |      47.0 |     0.00030864629246521507
 GLOBAL    |      227800 | Duarte Gonçalves Jr                 | MG       | REPUBLICANOS  |    81944.51 |              25 |                     0 |             66 |      44.1 |     0.00053816906099017494
 GLOBAL    |      132504 | Enio Verri                          | PR       | PT            |    70442.84 |              27 |                     0 |             11 |      41.6 |     0.00059054972797803155
 GLOBAL    |      229112 | Pedro Jr                            | TO       | PL            |   175492.24 |              25 |                     0 |             41 |      41.6 |     0.00023704751845437724
 GLOBAL    |      225386 | Renan Ferreirinha                   | RJ       | PSD           |    51059.62 |              24 |                     0 |             43 |      40.3 |     0.00078927340234807858
 GLOBAL    |      228616 | Dr. Remy Soares                     | MA       | PP            |   187671.30 |              20 |                     0 |             85 |      38.5 |     0.00020514591202810446
 GLOBAL    |      230762 | Pastor Claudio Mariano              | PA       | UNIAO         |   511089.19 |              19 |                     0 |             99 |      38.4 | 0.000075133657199832381507
 GLOBAL    |       77003 | Sergio Santos Rodrigues             | MG       | PODE          |   120320.49 |              21 |                     0 |             56 |      37.1 |     0.00030834315917430190
 GLOBAL    |      100689 | Hildo do Candango                   | GO       | REPUBLICANOS  |   149927.90 |              22 |                     0 |             40 |      37.0 |     0.00024678528812849376
 GLOBAL    |      230177 | Tadeu Oliveira                      | CE       | PL            |   169926.25 |              20 |                     0 |             69 |      36.9 |     0.00021715302962314534
 GLOBAL    |      223398 | Ulisses Guimarães                   | MG       | MDB           |   158398.59 |              19 |                     0 |             76 |      36.1 |     0.00022790606911336774
 GLOBAL    |      233598 | Samuel Santos                       | GO       | PODE          |   137787.62 |              19 |                     0 |             66 |      35.1 |     0.00025473986705046506
 GLOBAL    |      122195 | Leonardo Gadelha                    | PB       | PODE          |   177945.54 |              21 |                     0 |             34 |      34.9 |     0.00019612742190672495
 GLOBAL    |      230088 | Dra. Mayra Pinheiro                 | CE       | PL            |   105982.73 |              19 |                     0 |             58 |      34.3 |     0.00032363763416926512
 GLOBAL    |      204514 | Coronel Tadeu                       | SP       | PL            |    44639.68 |              20 |                     0 |             25 |      32.5 |     0.00072805181399149815
 GLOBAL    |      171139 | Loreny                              | SP       | SOLIDARIEDADE |    64801.73 |              19 |                     0 |             39 |      32.4 |     0.00049998665159093746
 GLOBAL    |      128760 | Paulo Marinho Jr                    | MA       | PL            |   249619.70 |              15 |                     0 |             98 |      32.3 |     0.00012939683847068160
 GLOBAL    |      141488 | Paulo Teixeira                      | SP       | PT            |     8712.65 |              18 |                     0 |             44 |      31.4 |     0.00360395516863411247
 GLOBAL    |      178831 | André Abdon                         | AP       | PP            |   404111.80 |              12 |                     0 |            105 |      28.5 | 0.000070525037873182619265
 GLOBAL    |      178945 | Rosangela Gomes                     | RJ       | REPUBLICANOS  |    17209.12 |              16 |                     0 |             44 |      28.4 |     0.00165028775439999256
 GLOBAL    |       68720 | Fábio Henrique                      | SE       | UNIAO         |   147119.22 |              16 |                     0 |             32 |      27.2 |     0.00018488406885245857
 GLOBAL    |      225727 | Flavinha                            | MT       | MDB           |   161654.52 |              14 |                     0 |             61 |      27.1 |     0.00016764146155641055
 GLOBAL    |      160621 | Sandro Alex                         | PR       | PSD           |   110838.58 |              14 |                     0 |             56 |      26.6 |     0.00023998863933478758
 GLOBAL    |      182146 | Wolmer Araújo                       | MA       | SOLIDARIEDADE |   198602.50 |              16 |                     0 |             22 |      26.2 |     0.00013192180360267368
 GLOBAL    |       74295 | Inácio Arruda                       | CE       | PCDOB         |     1682.59 |              15 |                     0 |             35 |      26.0 |     0.01545236807540755621
 GLOBAL    |      227401 | Dr Fabio Rueda                      | AC       | UNIAO         |   196344.58 |              14 |                     0 |             33 |      24.3 |     0.00012376201064475526
 GLOBAL    |      227323 | Luciano Galego                      | MA       | PL            |   185617.55 |              14 |                     0 |             29 |      23.9 |     0.00012875937647059774
 GLOBAL    |      229333 | Gláucia Santiago                    | MG       | PL            |   166310.14 |              13 |                     0 |             33 |      22.8 |     0.00013709326442753280
 GLOBAL    |      178832 | Leandre                             | PR       | PSD           |    49698.08 |              10 |                     0 |             56 |      20.6 |     0.00041450293451980439
 GLOBAL    |      234388 | Fabiano Cazeca                      | MG       | PRD           |   113065.75 |               6 |                     0 |            109 |      19.9 |     0.00017600378540804797
 GLOBAL    |      229069 | Capitão Samuel                      | SE       | PP            |   174706.21 |              11 |                     0 |             26 |      19.1 |     0.00010932639429359723
 GLOBAL    |      160508 | Afonso Florence                     | BA       | PT            |    62174.47 |              10 |                     0 |             38 |      18.8 |     0.00030237491369045848
