Q8 complemento - ranking completo de influencia legislativa global
 id_deputado |                nome                 | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas 
      220707 | Amanda Gentil                       |                 500 |                     0 |              
      204356 | Amaro Neto                          |                 367 |                     0 |              
      220715 | Amom Mandel                         |                4971 |                     0 |              
      107970 | Ana Paula Leão                      |                 415 |                     0 |              
      220556 | Ana Paula Lima                      |                1209 |                     0 |              
      220632 | Ana Pimentel                        |                 767 |                     0 |              
      178831 | André Abdon                         |                  12 |                     0 |              
      220657 | André Fernandes                     |                 611 |                     0 |              
      204423 | André Ferreira                      |                 367 |                     0 |              
      133439 | André Figueiredo                    |                1256 |                     0 |              
      178882 | André Fufuca                        |                 126 |                     0 |              
      220676 | Andreia Siqueira                    |                 555 |                     0 |              
      204515 | André Janones                       |                 119 |                     0 |              
      123756 | Antônia Lúcia                       |                 784 |                     0 |              
      220544 | Antonio Andrade                     |                 209 |                     0 |              
      160553 | Antonio Brito                       |                1348 |                     0 |              
      220638 | Antonio Carlos Rodrigues            |                 363 |                     0 |              
      220675 | Antônio Doido                       |                 116 |                     0 |              
      220549 | Any Ortiz                           |                 628 |                     0 |              
       73433 | Arlindo Chinaglia                   |                 823 |                     0 |              
      141391 | Arnaldo Jardim                      |                 560 |                     0 |              
      160541 | Arthur Lira                         |                  33 |                     0 |              
      160600 | Arthur Oliveira Maia                |                 413 |                     0 |              
       74090 | Átila Lins                          |                 182 |                     0 |              
      123086 | Átila Lira                          |                 247 |                     0 |              
      160665 | Augusto Coutinho                    |                 843 |                     0 |              
      220577 | Augusto Puppio                      |                 369 |                     0 |              
      160512 | Aureo Ribeiro                       |                1755 |                     0 |              
       69871 | Bacelar                             |                 798 |                     0 |              
      178975 | Baleia Rossi                        |                 133 |                     0 |              
      220605 | Bandeira de Mello                   |                 481 |                     0 |              
      220612 | Bebeto                              |                 480 |                     0 |              
       73701 | Benedita da Silva                   |                 692 |                     0 |              
      109429 | Benes Leocádio                      |                 391 |                     0 |              
      204358 | Beto Pereira                        |                 252 |                     0 |              
      220698 | Beto Preto                          |                 126 |                     0 |              
      220683 | Beto Richa                          |                 488 |                     0 |              
      204374 | Bia Kicis                           |                1706 |                     0 |              
      204388 | Bibo Nunes                          |                 874 |                     0 |              
      160538 | Bohn Gass                           |                 503 |                     0 |              
       74052 | Bosco Costa                         |                   1 |                     0 |              
      210989 | Bruno Farias                        |                 489 |                     0 |              
      220635 | Bruno Ganem                         |                 519 |                     0 |              
      220574 | Cabo Gilberto Silva                 |                2646 |                     0 |              
      143942 | Caio Vianna                         |                 226 |                     0 |              
      220548 | Camila Jara                         |                 879 |                     0 |              
      204572 | Capitão Alberto Neto                |                4206 |                     0 |              
      220690 | Capitão Alden                       |                2148 |                     0 |              
      178829 | Capitão Augusto                     |                 614 |                     0 |              
      229069 | Capitão Samuel                      |                  11 |                     0 |              
      229106 | Carla Ayres                         |                  82 |                     0 |              
      213762 | Carla Dickson                       |                 298 |                     0 |              
      204507 | Carla Zambelli                      |                 428 |                     0 |              
      204361 | Carlos Chiodini                     |                 430 |                     0 |              
      178962 | Carlos Gomes                        |                 244 |                     0 |              
      178993 | Carlos Henrique Gaguim              |                 649 |                     0 |              
      204460 | Carlos Jordy                        |                 951 |                     0 |              
       74262 | Carlos Sampaio                      |                 207 |                     0 |              
      204426 | Carlos Veras                        |                1850 |                     0 |              
      141398 | Carlos Zarattini                    |                 422 |                     0 |              
      164360 | Carmen Zanotto                      |                  41 |                     0 |              
      220704 | Carol Dartora                       |                 922 |                     0 |              
      204369 | Caroline de Toni                    |                1013 |                     0 |              
      220699 | Castro Neto                         |                 234 |                     0 |              
      206018 | Célia Xakriabá                      |                2072 |                     0 |              
      178876 | Célio Silveira                      |                 527 |                     0 |              
      204488 | Célio Studart                       |                 694 |                     0 |              
       73441 | Celso Russomanno                    |                 650 |                     0 |              
      204496 | Celso Sabino                        |                 210 |                     0 |              
      204504 | Cezinha de Madureira                |                 735 |                     0 |              
      205476 | Charles Fernandes                   |                 205 |                     0 |              
       74171 | Chico Alencar                       |                2157 |                     0 |              
      204476 | Chiquinho Brazão                    |                 296 |                     0 |              
      204462 | Chris Tonietto                      |                3245 |                     0 |              
      220665 | Clarissa Tércio                     |                 542 |                     0 |              
       74537 | Claudio Cajado                      |                 271 |                     0 |              
      141408 | Cleber Verde                        |                 792 |                     0 |              
       88256 | Clodoaldo Magalhães                 |                 464 |                     0 |              
       98148 | Cobalchini                          |                 882 |                     0 |              
      204376 | Coronel Armando                     |                  30 |                     0 |              
      220594 | Coronel Assis                       |                 667 |                     0 |              
      204378 | Coronel Chrisóstomo                 |                2032 |                     0 |              
      220595 | Coronel Fernanda                    |                1110 |                     0 |              
      220666 | Coronel Meira                       |                1190 |                     0 |              
      204514 | Coronel Tadeu                       |                  20 |                     0 |              
      222142 | Coronel Telhada                     |                 428 |                     0 |              
      220590 | Coronel Ulysses                     |                 638 |                     0 |              
      178963 | Covatti Filho                       |                 555 |                     0 |              
      220608 | Cristiane Lopes                     |                 604 |                     0 |              
      141411 | Dagoberto Nogueira                  |                 343 |                     0 |              
      220555 | Daiana Santos                       |                 661 |                     0 |              
      220692 | Dal Barreto                         |                 181 |                     0 |              
       74467 | Damião Feliciano                    |                 170 |                     0 |              
      220629 | Dandara                             |                 828 |                     0 |              
      220603 | Dani Cunha                          |                 329 |                     0 |              
      204459 | Daniela do Waguinho                 |                 250 |                     0 |              
      220571 | Daniel Agrobom                      |                 745 |                     0 |              
       74060 | Daniel Almeida                      |                 607 |                     0 |              
      220557 | Daniela Reinehr                     |                1062 |                     0 |              
      220582 | Daniel Barbosa                      |                 171 |                     0 |              
      204367 | Daniel Freitas                      |                 441 |                     0 |              
      228941 | Daniel José                         |                  29 |                     0 |              
      204409 | Daniel Trzeciak                     |                 230 |                     0 |              
       62881 | Danilo Forte                        |                 547 |                     0 |              
      160552 | Danrlei de Deus Hinterholz          |                  39 |                     0 |              
      116379 | Darci de Matos                      |                 167 |                     0 |              
      204511 | David Soares                        |                 612 |                     0 |              
      204355 | Da Vitoria                          |                 379 |                     0 |              
      220659 | Dayany Bittencourt                  |                1167 |                     0 |              
      220539 | Defensor Stélio Dener               |                 759 |                     0 |              
      220565 | Delegada Adriana Accorsi            |                 499 |                     0 |              
      220625 | Delegada Ione                       |                 784 |                     0 |              
      220561 | Delegada Katarina                   |                 443 |                     0 |              
      220642 | Delegado Bruno Lima                 |                 339 |                     0 |              
      220673 | Delegado Caveira                    |                 761 |                     0 |              
      220649 | Delegado da Cunha                   |                 359 |                     0 |              
      178908 | Delegado Éder Mauro                 |                 466 |                     0 |              
      220583 | Delegado Fabio Costa                |                 559 |                     0 |              
      204512 | Delegado Marcelo Freitas            |                 472 |                     0 |              
      220701 | Delegado Matheus Laiola             |                 622 |                     0 |              
      220652 | Delegado Palumbo                    |                 361 |                     0 |              
      220654 | Delegado Paulo Bilynskyj            |                6930 |                     0 |              
      220619 | Delegado Ramagem                    |                 715 |                     0 |              
      228272 | Délio Pinheiro                      |                   5 |                     0 |              
      220705 | Deltan Dallagnol                    |                 178 |                     0 |              
      220553 | Denise Pessôa                       |                 783 |                     0 |              
      220689 | Detinha                             |                 148 |                     0 |              
      160588 | Diego Andrade                       |                 275 |                     0 |              
      220691 | Diego Coronel                       |                 562 |                     0 |              
      178929 | Diego Garcia                        |                1830 |                     0 |              
       73768 | Dilceu Sperafico                    |                 250 |                     0 |              
      220671 | Dilvanda Faro                       |                 427 |                     0 |              
      160599 | Dimas Fabiano                       |                 107 |                     0 |              
      220602 | Dimas Gadelha                       |                 446 |                     0 |              
      143632 | Domingos Neto                       |                 425 |                     0 |              
      160758 | Domingos Sávio                      |                 690 |                     0 |              
      220573 | Dorinaldo Malafaia                  |                 667 |                     0 |              
      227433 | Douglas Viegas                      |                 340 |                     0 |              
      204450 | Doutor Luizinho                     |                1219 |                     0 |              
      220674 | Dra. Alessandra Haber               |                 314 |                     0 |              
      230088 | Dra. Mayra Pinheiro                 |                  19 |                     0 |              
      221339 | Dr. Benjamim                        |                 130 |                     0 |              
      220614 | Dr. Daniel Soranz                   |                 228 |                     0 |              
      227401 | Dr Fabio Rueda                      |                  14 |                     0 |              
      220610 | Dr. Fernando Máximo                 |                 788 |                     0 |              
      227991 | Dr Flávio                           |                  42 |                     0 |              
      220688 | Dr. Francisco                       |                 384 |                     0 |              
      204518 | Dr. Frederico                       |                 931 |                     0 |              
      212625 | Dr. Gonçalo                         |                   3 |                     0 |              
      220570 | Dr. Ismael Alexandrino              |                 351 |                     0 |              
      204481 | Dr. Jaziel                          |                 313 |                     0 |              
      204351 | Dr. Luiz Ovando                     |                 565 |                     0 |              
      228616 | Dr. Remy Soares                     |                  20 |                     0 |              
      220528 | Dr. Victor Linhalis                 |                 606 |                     0 |              
      204412 | Dr. Zacharias Calil                 |                1185 |                     0 |              
      227800 | Duarte Gonçalves Jr                 |                  25 |                     0 |              
      220686 | Duarte Jr.                          |                1744 |                     0 |              
      220540 | Duda Ramos                          |                1564 |                     0 |              
      220623 | Duda Salabert                       |                1245 |                     0 |              
      204541 | Eduardo Bismarck                    |                 488 |                     0 |              
       92346 | Eduardo Bolsonaro                   |                 498 |                     0 |              
      141421 | Eduardo da Fonte                    |                 459 |                     0 |              
      220589 | Eduardo Velloso                     |                 445 |                     0 |              
       74075 | Elcione Barbalho                    |                 341 |                     0 |              
      226553 | Eliane Braz                         |                   9 |                     0 |              
      204364 | Eli Borges                          |                 343 |                     0 |              
      229585 | Elisangela Araujo                   |                  49 |                     0 |              
      220008 | Eliza Virgínia                      |                  38 |                     0 |              
      234406 | Elmano Férrer                       |                   1 |                     0 |              
      178854 | Elmar Nascimento                    |                 778 |                     0 |              
      218086 | Ely Santos                          |                 110 |                     0 |              
      198783 | Emanuel Pinheiro Neto               |                 325 |                     0 |              
      161550 | Emidinho Madeira                    |                 435 |                     0 |              
      225730 | Enfermeira Ana Paula                |                 215 |                     0 |              
      230765 | Enfermeira Rejane                   |                 134 |                     0 |              
      132504 | Enio Verri                          |                  27 |                     0 |              
      220663 | Eriberto Medeiros                   |                 583 |                     0 |              
      220645 | Erika Hilton                        |                1419 |                     0 |              
      160575 | Erika Kokay                         |                1975 |                     0 |              
      160640 | Eros Biondini                       |                 488 |                     0 |              
      204482 | Euclydes Pettersen                  |                 133 |                     0 |              
       74454 | Eunício Oliveira                    |                  90 |                     0 |              
      178871 | Evair Vieira de Melo                |                3102 |                     0 |              
      234388 | Fabiano Cazeca                      |                   6 |                     0 |              
      178905 | Fabio Garcia                        |                 113 |                     0 |              
       68720 | Fábio Henrique                      |                  16 |                     0 |              
      220681 | Fábio Macedo                        |                 190 |                     0 |              
      171623 | Fabio Reis                          |                  44 |                     0 |              
      204368 | Fabio Schiochet                     |                 205 |                     0 |              
