Q9 - Vies ideologico dos deputados (direita / esquerda / centro)

Q9.1 - Catalogo de partidos por ideologia
 ideologia |                                  partidos                                  | qtd_partidos 
-----------+----------------------------------------------------------------------------+--------------
 centro    | AVANTE, CIDADANIA, MDB, MISSAO, PODE, PRD, PSD, PSDB, SOLIDARIEDADE, UNIAO |           10
 direita   | NOVO, PL, PP, REPUBLICANOS                                                 |            4
 esquerda  | PCDOB, PDT, PSB, PSOL, PT, PV, REDE                                        |            7
(3 rows)


Q9.1 - Lista completa partidos x ideologia
 sigla_partido | ideologia 
---------------+-----------
 AVANTE        | centro
 CIDADANIA     | centro
 MDB           | centro
 MISSAO        | centro
 PODE          | centro
 PRD           | centro
 PSD           | centro
 PSDB          | centro
 SOLIDARIEDADE | centro
 UNIAO         | centro
 NOVO          | direita
 PL            | direita
 PP            | direita
 REPUBLICANOS  | direita
 PCDOB         | esquerda
 PDT           | esquerda
 PSB           | esquerda
 PSOL          | esquerda
 PT            | esquerda
 PV            | esquerda
 REDE          | esquerda
(21 rows)


Q9.2 - Correlacao ideologia x proposicao (pct de Sim por campo)
 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia | votos_sim | votos_nao | outros | total_votos | pct_sim 
      2023 | 1570646-104 | PRL 1 CCJC => PL 2322/2015                                       | esquerda  |         0 |        14 |      0 |          14 |     0.0
      2023 | 1570646-109 | PRL 1 CCJC => PL 2322/2015                                       | centro    |         6 |         7 |      0 |          13 |    46.2
      2023 | 1570646-109 | PRL 1 CCJC => PL 2322/2015                                       | direita   |         6 |        17 |      0 |          23 |    26.1
      2023 | 1570646-109 | PRL 1 CCJC => PL 2322/2015                                       | esquerda  |         9 |         0 |      0 |           9 |   100.0
      2023 | 1701755-60  | REQ 4920/2016 => PLP 2/1999                                      | centro    |       155 |         0 |      0 |         155 |   100.0
      2023 | 1701755-60  | REQ 4920/2016 => PLP 2/1999                                      | direita   |       155 |         0 |      0 |         155 |   100.0
      2023 | 1701755-60  | REQ 4920/2016 => PLP 2/1999                                      | esquerda  |        79 |        20 |      2 |         101 |    78.2
      2023 | 1713431-105 | PRL 1 CCJC => PL 2932/2015                                       | centro    |         5 |         8 |      1 |          14 |    35.7
      2023 | 1713431-105 | PRL 1 CCJC => PL 2932/2015                                       | direita   |         3 |        14 |      0 |          17 |    17.6
      2023 | 1713431-105 | PRL 1 CCJC => PL 2932/2015                                       | esquerda  |        13 |         0 |      0 |          13 |   100.0
