 ano_dados | id_deputado |                        nome                         |         eixo_maior          | votos_sim | votos_nao | abstencoes | votos_total 
      2026 |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        | Social                      |        11 |        12 |          0 |          23
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Ambiental e energetico      |        11 |         6 |          0 |          17
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Ambiental e energetico      |        25 |        23 |          0 |          48
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Ambiental e energetico      |        36 |        20 |          0 |          56
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Ambiental e energetico      |         6 |         7 |          0 |          13
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Cultura e sociedade         |        10 |        11 |          0 |          21
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Cultura e sociedade         |         0 |         3 |          0 |           3
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Cultura e sociedade         |        28 |        21 |          0 |          49
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Cultura e sociedade         |         6 |         6 |          0 |          12
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Economico                   |        73 |        66 |          0 |         139
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Economico                   |        79 |        93 |          0 |         172
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Economico                   |        66 |        53 |          0 |         119
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Economico                   |        18 |        20 |          0 |          38
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Infraestrutura e tecnologia |        13 |        10 |          0 |          23
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Infraestrutura e tecnologia |        13 |        12 |          0 |          25
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Infraestrutura e tecnologia |        15 |        15 |          0 |          30
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Infraestrutura e tecnologia |         0 |         2 |          0 |           2
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Institucional e juridico    |        35 |        27 |          0 |          62
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Institucional e juridico    |        32 |        29 |          0 |          61
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Institucional e juridico    |        90 |        64 |          0 |         154
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Institucional e juridico    |        17 |        23 |          0 |          40
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Internacional               |         1 |         7 |          0 |           8
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Internacional               |         3 |         3 |          0 |           6
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Internacional               |         7 |        10 |          0 |          17
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Internacional               |         2 |         1 |          0 |           3
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Seguranca                   |         2 |         5 |          0 |           7
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Seguranca                   |        20 |        12 |          0 |          32
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Seguranca                   |        26 |        17 |          0 |          43
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Seguranca                   |         8 |        13 |          0 |          21
      2023 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Social                      |        22 |        21 |          0 |          43
      2024 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Social                      |        18 |        17 |          0 |          35
      2025 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Social                      |        75 |        51 |          0 |         126
      2026 |      220714 | ADAIL JOSÉ FIGUEIREDO PINHEIRO                      | Social                      |        12 |        18 |          0 |          30
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Ambiental e energetico      |         6 |         5 |          0 |          11
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Ambiental e energetico      |        26 |        17 |          0 |          43
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Ambiental e energetico      |        28 |        12 |          0 |          40
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Ambiental e energetico      |         3 |         4 |          0 |           7
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Cultura e sociedade         |         7 |         9 |          1 |          17
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Cultura e sociedade         |         0 |         2 |          0 |           2
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Cultura e sociedade         |        24 |        21 |          1 |          46
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Cultura e sociedade         |         8 |         1 |          1 |          10
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Economico                   |        63 |        68 |          0 |         131
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Economico                   |        72 |        85 |          1 |         158
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Economico                   |        52 |        28 |          2 |          82
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Economico                   |        14 |         9 |          1 |          24
      2023 |      220692 | ADALBERTO ROSA BARRETO                              | Infraestrutura e tecnologia |         9 |         6 |          0 |          15
      2024 |      220692 | ADALBERTO ROSA BARRETO                              | Infraestrutura e tecnologia |         7 |         5 |          0 |          12
      2025 |      220692 | ADALBERTO ROSA BARRETO                              | Infraestrutura e tecnologia |        16 |        14 |          0 |          30
      2026 |      220692 | ADALBERTO ROSA BARRETO                              | Infraestrutura e tecnologia |         0 |         1 |          0 |           1
