      escolaridade       | id_deputado |                        nome                         
 Mestrado                |       74784 | LUIZA ERUNDINA DE SOUSA
 Mestrado                |      141488 | LUIZ PAULO TEIXEIRA FERREIRA
 Mestrado                |      204526 | LUIZ PHILIPPE DE ORLEANS BRAGANÇA
 Mestrado                |      220530 | Manoel Messias Donato Bezerra
 Mestrado                |      160161 | MARCELO ANDRE CID HERACLITO DO PORTO QUEIROZ
 Mestrado                |      204433 | MARCELO CALERO FARIA GARCIA
 Mestrado                |      156190 | MARCEL VAN HATTEM
 Mestrado                |      204514 | MARCIO TADEU ANHAIA DE LEMOS
 Mestrado                |      204522 | MARCO AURELIO BERTAIOLLI
 Mestrado                |       74398 | MARIA DO ROSÁRIO NUNES
 Mestrado                |      188097 | MERLONG SOLANO NOGUEIRA
 Mestrado                |      171786 | MIGUEL ÂNGELO MONTEIRO ANDRADE
 Mestrado                |      204453 | NATÁLIA BASTOS BONAVIDES
 Mestrado                |       74160 | PATRUS ANANIAS DE SOUZA
 Mestrado                |      141516 | PAULO ABI-ACKEL
 Mestrado                |      204395 | PEDRO DEBONI LUPION MELLO
 Mestrado                |      220630 | PEDRO DOSHIKAZU PIANCHAO AIHARA
 Mestrado                |      160604 | PEDRO FRANCISCO UCZAI
 Mestrado                |      122158 | PEDRO PAULO CARVALHO TEIXEIRA
 Mestrado                |      141531 | RODRIGO BATISTA DE CASTRO
 Mestrado                |      160629 | ROMERO RODRIGUES VEIGA
 Mestrado                |      178945 | ROSANGELA DE SOUZA GOMES
 Mestrado                |      220579 | SILVIA NOBRE LOPES
 Mestrado                |      141555 | VINICIUS RAPOZO DE CARVALHO
 Mestrado Incompleto     |      220715 | AMOM MANDEL LINS FILHO
 Mestrado Incompleto     |      220615 | HENRIQUE DOS SANTOS VIEIRA LIMA
 Mestrado Incompleto     |      220670 | IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA
 Mestrado Incompleto     |      220543 | RICARDO AYRES DE CARVALHO
 Mestrado Incompleto     |      204464 | TALIRIA PETRONE SOARES
 Nao informado           |      220619 | ALEXANDRE RAMAGEM RODRIGUES
 Nao informado           |      234840 | CRISTIANO BEVILACQUA FURLAN
 Nao informado           |      229225 | DAÍZE MICHELE DE AGUIAR GONÇALVES COLLINS
 Nao informado           |      227433 | DOUGLAS DE PAULO VIEGAS
 Nao informado           |      227800 | DUARTE EUSTÁQUIO GONÇALVES JUNIOR
 Nao informado           |      234388 | FABIANO LOPES FERREIRA CAZECA
 Nao informado           |      227401 | FABIO GONÇALVES DE RUEDA
 Nao informado           |      227370 | FELIPE MAURÍCIO SALIBA DE SOUZA
 Nao informado           |      227991 | FLAVIO CAMPOS FERREIRA
 Nao informado           |      220700 | FLORENTINO ALVES VERAS NETO
 Nao informado           |      229333 | GLÁUCIA MARIA SANTIAGO RODRIGUES
 Nao informado           |      235712 | HEBER GOMES NEIVA
 Nao informado           |      225846 | ITAMAR PAIM PRUCH
 Nao informado           |      235869 | JOÃO CARLOS DOS SANTOS MELLO
 Nao informado           |      235800 | JORGE SILVA DE ARAÚJO
 Nao informado           |      220577 | JOSÉ AUGUSTO PUPPIO REIS JÚNIOR
 Nao informado           |      228837 | JULIANA ROSA DE SOUZA KOLANKIEWICZ
 Nao informado           |      228797 | JÚLIO DA SILVA OLIVEIRA
 Nao informado           |      229082 | KARLA LUCYANA SOARES CANTO COSTA
 Nao informado           |      208297 | KATIA REGINA OLIVEIRA DIAS
 Nao informado           |      171139 | LORENY MAYARA CAETANO ROBERTO
 Nao informado           |      227323 | LUCIANO RODRIGUES SEIDEL
 Nao informado           |      229939 | NEWTON BONIN
 Nao informado           |      222565 | NOELIO DA ROCHA OLIVEIRA
 Nao informado           |      100689 | OSMARILDO ALVES DE SOUSA
 Nao informado           |      220667 | PEDRO HENRIQUE DE A. L. C. CAMPOS
 Nao informado           |      229112 | PEDRO SOUZA CATINGUEIRO JUNIOR
 Nao informado           |      229259 | PEDRO TOURINHO DE SIQUEIRA
 Nao informado           |      233594 | RAFAEL BENTO PEREIRA
 Nao informado           |      228616 | REMY ALVES SOARES FILHO
 Nao informado           |      175765 | RIBAMAR ANTONIO DA SILVA
 Nao informado           |      233218 | RONDINELLE PEREIRA DE FREITAS
 Nao informado           |      233598 | SAMUEL JOSE DOS SANTOS
 Nao informado           |      227310 | SILVIO ANTONIO GUIMARAES MACHADO
 Nao informado           |      220539 | STÉLIO DENER DE SOUZA CRUZ
 Nao informado           |      227275 | TACILLA MARIANA CARVALHO SILVA
 Nao informado           |      230177 | TADEU MAGELA DE OLIVEIRA
 Nao informado           |      223398 | ULISSES SUAID PORTO GUIMARÃES BORGES
 Nao informado           |      220590 | ULYSSES FREITAS PEREIRA DE ARAÚJO
 Nao informado           |      234673 | VALDERLAN ALVES DE SOUZA
 Pós-Graduação           |      160527 | AGUINALDO VELLOSO BORGES RIBEIRO
 Pós-Graduação           |      204572 | ALBERTO BARROS CAVALCANTE NETO
 Pós-Graduação           |      220576 | ALFREDO GASPAR DE MENDONÇA NETO
 Pós-Graduação           |      204356 | AMARO ROCHA NASCIMENTO NETO
 Pós-Graduação           |      220657 | ANDRÉ FERNANDES DE MOURA
 Pós-Graduação           |      133439 | ANDRÉ PEIXOTO FIGUEIREDO LIMA
 Pós-Graduação           |      220638 | ANTONIO CARLOS RODRIGUES
 Pós-Graduação           |      220549 | ANY MACHADO ORTIZ
 Pós-Graduação           |       73433 | ARLINDO CHIGNALIA JUNIOR
 Pós-Graduação           |      220642 | BRUNO MARCELLO DE OLIVEIRA LIMA
 Pós-Graduação           |      204507 | CARLA ZAMBELLI SALGADO DE OLIVEIRA
 Pós-Graduação           |      220649 | CARLOS ALBERTO DA CUNHA
 Pós-Graduação           |      220698 | CARLOS ALBERTO GEBRIM PRETO
 Pós-Graduação           |      178993 | CARLOS HENRIQUE AMORIM
 Pós-Graduação           |      204459 | DANIELA MOTE DE SOUZA CARNEIRO
 Pós-Graduação           |      220582 | DANIEL BARBOSA DE ALMEIDA SILVA
 Pós-Graduação           |      220603 | DANIELLE DYTZ DA CUNHA
 Pós-Graduação           |      204511 | DAVID BEZERRA RIBEIRO SOARES
 Pós-Graduação           |      160588 | DIEGO LEONARDO DE ANDRADE CARVALHO
 Pós-Graduação           |      220602 | DIMAS DE PAIVA GADELHA JUNIOR
 Pós-Graduação           |      160758 | DOMINGOS SÁVIO CAMPOS RESENDE
 Pós-Graduação           |       74075 | ELCIONE THEREZINHA ZAHLUTH BARBALHO
 Pós-Graduação           |      178854 | ELMAR JOSE VIEIRA NASCIMENTO
 Pós-Graduação           |      160538 | ELVINO JOSÉ BOHN GASS
 Pós-Graduação           |      160640 | EROS FERREIRA BIONDINI
 Pós-Graduação           |      178871 | EVAIR VIEIRA DE MELO
 Pós-Graduação           |      220583 | FABIO MICHEY COSTA DA SILVA
 Pós-Graduação           |      178905 | FABIO PAULINO GARCIA
 Pós-Graduação           |      220688 | FRANCISCO DE ASSIS DE OLIVEIRA COSTA
 Pós-Graduação           |      220708 | GABRIEL JOSE MOURA NUNES SOARES
 Pós-Graduação           |      178966 | Geovânia de Sá
 Pós-Graduação           |      204491 | GILBERTO APARECIDO ABRAMO
 Pós-Graduação           |      204365 | GILSON MARQUES VIEIRA
 Pós-Graduação           |      160673 | GIOVANI CHERINI
 Pós-Graduação           |      107283 | GLEISI HELENA HOFFMANN
 Pós-Graduação           |      204531 | GUILHERME MURARO DERRITE
 Pós-Graduação           |      178873 | HELDER IGNACIO SALOMAO
 Pós-Graduação           |      178884 | HILDO AUGUSTO DA ROCHA NETO
 Pós-Graduação           |      220570 | ISMAEL ALEXANDRINO JUNIOR
 Pós-Graduação           |       74848 | JANDIRA FEGHALI
 Pós-Graduação           |       69871 | JOAO CARLOS BACELAR BATISTA
 Pós-Graduação           |      141458 | JOÃO CARLOS PAOLILO BACELAR FILHO
 Pós-Graduação           |      230768 | JOSE ADRIANO RIBEIRO DA SILVA
 Pós-Graduação           |       74554 | JOSÉ ALVES ROCHA
 Pós-Graduação           |      204472 | JOSE ANTONIO DOS SANTOS MEDEIROS
 Pós-Graduação           |      204559 | JOSÉ CERQUEIRA DE SANTANA NETO
 Pós-Graduação           |      220578 | JOSENILDO SANTOS ABRANTES
 Pós-Graduação           |      220618 | JOSÉ PORTUGAL NETO
 Pós-Graduação           |      160632 | JOSÉ SILVA SOARES
 Pós-Graduação           |      220560 | JOSE THIAGO ALVES DE CARVALHO
 Pós-Graduação           |       74141 | JOSIAS GOMES DA SILVA
