Q5 complemento - top 5 fornecedores por categoria de gasto e por ano (57a leg.)
 ano_dados | posicao |                         categoria                         |                                             fornecedor                                             | qtd_lancamentos | total_pago  
      2023 |       4 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | THAIANE ARAUJO GOMES SOARES                                                                        |               1 |     2360.00
      2023 |       5 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      | ACRENAUTICA COMERCIO E SERVICOS LTDA                                                               |               1 |     1500.00
      2023 |       1 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | PANTANAL VEÍCULOS LTDA                                                                             |             750 |  3003365.91
      2023 |       2 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | SUPREMA MOBILIDADE LTDA                                                                            |             325 |  1648440.70
      2023 |       3 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | NOVACAR LOCADORA DE VEICULOS LTDA                                                                  |             215 |  1066001.00
      2023 |       4 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | HPE AUTOMOTORES DO BRASIL LTDA                                                                     |              98 |   778478.70
      2023 |       5 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | DALETH VEICULOS LTDA EPP                                                                           |             186 |   775014.00
      2023 |       1 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME                                                       |             794 |   607518.66
      2023 |       2 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | AMORETTO CAFES EXPRESSO LTDA                                                                       |             490 |   336485.31
      2023 |       3 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | TELEMAXIMO SISTEMAS CONSULTORIA E SERVIÇOS LTDA - ME                                               |              21 |   247868.30
      2023 |       4 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | N P IMOVEIS LTDA                                                                                   |              67 |   200405.07
      2023 |       5 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | PAX IMÓVEIS LTDA.                                                                                  |              11 |   182211.20
      2023 |       1 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EPUBLIKA, CURSOS PREPARATORIOS, DE CAPACITACAO E TREINAMENTO DE PESSOAL, EDITORACAO E EVENTOS LTDA |               2 |    15000.00
      2023 |       2 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | MARIA OLGA CURADO COMUNICADO                                                                       |               1 |     9145.61
      2023 |       3 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | FDR COMUNICARE DESENVOLVIMENTO LTDA                                                                |               1 |     9100.00
      2023 |       4 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EXTERIOR EDITORA CONSULTORIA E MARKETING LTDA                                                      |               1 |     5000.00
      2023 |       5 | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         | EPUBLIKA, CURSOS PREPARATORIOS, DE CAPACITAÇÃO E TREINAMENTO                                       |               1 |     4000.00
      2023 |       1 | PASSAGEM AÉREA - REEMBOLSO                                | Latam Linhas Aéreas S.A                                                                            |             168 |   301030.87
      2023 |       2 | PASSAGEM AÉREA - REEMBOLSO                                | Gol Linhas Aereas S.A.                                                                             |             123 |   251934.45
      2023 |       3 | PASSAGEM AÉREA - REEMBOLSO                                | Azul Linhas Aéreas Inteligentes S.A                                                                |              26 |    58245.20
      2023 |       4 | PASSAGEM AÉREA - REEMBOLSO                                | A&T Turismo Ltda.                                                                                  |               2 |    52785.40
      2023 |       5 | PASSAGEM AÉREA - REEMBOLSO                                | AZUL LINHAS AÉREAS BRASILEIRAS S.A.                                                                |              35 |    51109.80
      2023 |       1 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - TAM                                                                                    |             557 |   864352.27
      2023 |       2 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - GOL                                                                                    |             534 |   599887.36
      2023 |       3 | PASSAGEM AÉREA - RPA                                      | Cia Aérea - AZUL                                                                                   |             421 |   450391.86
      2023 |       1 | PASSAGEM AÉREA - SIGEPA                                   | TAM                                                                                                |           29205 | 32600531.25
      2023 |       2 | PASSAGEM AÉREA - SIGEPA                                   | GOL                                                                                                |           10377 | 13314107.72
      2023 |       3 | PASSAGEM AÉREA - SIGEPA                                   | AZUL                                                                                               |            8809 |  9328167.54
