CREATE VIEW
Q5 - fornecedores com maior total pago (57a Legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 30
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_30 
-----------+--------------+-------------+--------------+------------
      2023 |        21868 |      213240 | 245280034.40 |      30.88
      2024 |        22288 |      220401 | 263302700.07 |      28.18
      2025 |        21953 |      200157 | 249254389.30 |      23.31
      2026 |        12813 |       51963 |  70012026.95 |      11.22
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                         fornecedor                          | qtd_lancamentos | total_pago  | pct_total 
-----------+---------+-------------------------------------------------------------+-----------------+-------------+-----------
      2023 |       1 | TAM                                                         |           29220 | 32631382.83 |     13.30
      2023 |       2 | GOL                                                         |           10377 | 13314107.72 |      5.43
      2023 |       3 | AZUL                                                        |            8809 |  9328167.54 |      3.80
      2023 |       4 | PANTANAL VEÍCULOS LTDA                                      |             750 |  3003365.91 |      1.22
      2023 |       5 | SUPREMA MOBILIDADE LTDA                                     |             325 |  1648440.70 |      0.67
      2023 |       6 | Facebook Serviços Online do Brasil                          |             507 |  1510546.98 |      0.62
      2023 |       7 | NOVACAR LOCADORA DE VEICULOS LTDA                           |             215 |  1066001.00 |      0.43
      2023 |       8 | Telefônica Brasil S.A. VIVO                                 |            2015 |   921435.07 |      0.38
      2023 |       9 | ELDORADO COMUNICACAO E JORNALISMO LTDA                      |             141 |   878856.07 |      0.36
      2023 |      10 | Cia Aérea - TAM                                             |             557 |   864352.27 |      0.35
      2023 |      11 | HPE AUTOMOTORES DO BRASIL LTDA                              |              98 |   778478.70 |      0.32
      2023 |      12 | DALETH VEICULOS LTDA EPP                                    |             186 |   775014.00 |      0.32
      2023 |      13 | VIA LOCADORA DE AUTOMOVEIS LTDA                             |             139 |   772928.11 |      0.32
      2023 |      14 | CELULAR FUNCIONAL                                           |            3482 |   723194.20 |      0.29
      2023 |      15 | I9 SOLUCOES EM MARKETING E MIDIAS DIGITAIS LTDA             |              66 |   612450.00 |      0.25
      2023 |      16 | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME                |             799 |   609468.56 |      0.25
      2023 |      17 | Cia Aérea - GOL                                             |             534 |   599887.36 |      0.24
      2023 |      18 | LOCALIZA RENT A CAR SA                                      |             285 |   576891.64 |      0.24
      2023 |      19 | HORIZONTE 16 LOCADORA DE VEÍCULOS LTDA                      |              60 |   539263.00 |      0.22
