"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Governo";"";"Sim"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Minoria";"";"Não"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Bl MdbPsdRepPode";"";"Sim"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Liberado"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Oposição";"";"Não"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Maioria";"";"Sim"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Fdr PT-PCdoB-PV";"";"Sim"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Bl UniPpFdrPsdbCid...";"";"Sim"
"2460010-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-43";"PLEN";"Aprovado o Projeto de Lei nº 3.802, de 2024. Sim: 340; Não: 117; Abstenção: 1; Total: 458.";"Fdr PSOL-REDE";"";"Sim"
"2460010-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-35";"PLEN";"Rejeitado o Requerimento. Sim: 82; Não: 193; Total: 275.";"Bl UniPpFdrPsdbCid...";"";"Não"
"2460010-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-35";"PLEN";"Rejeitado o Requerimento. Sim: 82; Não: 193; Total: 275.";"Governo";"";"Não"
"2460010-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-35";"PLEN";"Rejeitado o Requerimento. Sim: 82; Não: 193; Total: 275.";"Fdr PT-PCdoB-PV";"";"Não"
"2460010-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-35";"PLEN";"Rejeitado o Requerimento. Sim: 82; Não: 193; Total: 275.";"Bl MdbPsdRepPode";"";"Não"
"2460010-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-35";"PLEN";"Rejeitado o Requerimento. Sim: 82; Não: 193; Total: 275.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Não"
"2460010-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-35";"PLEN";"Rejeitado o Requerimento. Sim: 82; Não: 193; Total: 275.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2460010-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2460010-35";"PLEN";"Rejeitado o Requerimento. Sim: 82; Não: 193; Total: 275.";"Minoria";"";"Sim"
