"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"75373";"https://dadosabertos.camara.leg.br/api/v2/eventos/75373";"";"2024-12-20T13:42:00";"2024-12-20T13:44:00";"Encerrada";"Promulgação da Emenda Constitucional 135, de 2024, referente à Proposta de Emenda à Constituição nº 54, de 2024, que  “altera os arts. 37, 163, 165, 212, 212-A e 239 da CF e ADCT";"Sessão Não Deliberativa Solene";"";"Plenário do Senado Federal";"";"";""
"75372";"https://dadosabertos.camara.leg.br/api/v2/eventos/75372";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2846759";"2024-12-20T12:26:00";"2024-12-20T12:40:00";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"75369";"https://dadosabertos.camara.leg.br/api/v2/eventos/75369";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2846311";"2024-12-19T10:31:00";"2024-12-19T21:58:00";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"75314";"https://dadosabertos.camara.leg.br/api/v2/eventos/75314";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2839689";"2024-12-19T10:00:00";"";"Cancelada";"(REQ 67/2024 CASP, da deputada Professora Luciene Cavalcante; REQ 81/2024 CASP, do deputado Reimont; REQ 86/2024 CASP, do deputado Felipe Francischini)

PALESTRANTES

Representante do Ministério da Previdência
(Aguardando resposta)

EDISON GUILHERME HAUBERT
Presidente do Instituto MOSAP
(Participação confirmada)

JOSÉ GOZZE
Presidente da Pública Central do Servidor
(Aguardando resposta)

Representante do Sindicato de Especialistas de Educação do Magistério Oficial do Estado de São Paulo (UDEMO)
(Aguardando resposta)

CARLOS GIANNAZI
Deputado Estadual de São Paulo
(Aguardando resposta)

CELSO GIANNAZI
Vereador de São Paulo
(Aguardando resposta)

ALISON SOUZA
Diretor do Instituto Servir Brasil
(Aguardando resposta)

Representante do Sindifisco Nacional
(Aguardando resposta)

Representante da Confederação dos Trabalhadores no Serviço Público Federal (CONDSEF)
(Aguardando resposta)

Representante da Confederação dos Trabalhadores no Serviço Público Municipal (CONFETAM)
(Aguardando resposta)

Representante da Secretaria de Pessoas Aposentadas, Pensionistas e Idosas da CUT
(Aguardando resposta)

Representante do Sindicato dos Trabalhadores do Seguro Social e Previdência do Estado de São Paulo (SINSSP)
(Aguardando resposta)

Representante da Federação Nacional do Fisco Estadual e Distrital (FENAFISCO)
(Aguardando resposta)

Representante da Associação Nacional dos Magistrados da Justiça do Trabalho (ANAMATRA)
(Aguardando resposta)

THALES FREITAS
Presidente do Sindicato Nacional dos Analistas-Tributários da Receita Federal do Brasil (Sindireceita)
(Participação confirmada)

Representante da Associação dos Magistrados Brasileiros (AMB)
(Aguardando resposta)

Representante da Associação Nacional dos Membros do Ministério Público (CONAMP)
(Aguardando resposta)

Representante da Associação dos Membros dos Tribunais de Contas do Brasil (ATRICON)
(Aguardando resposta)";"Audiência Pública";"";"Anexo II, Plenário 08";"";"";""
"75355";"https://dadosabertos.camara.leg.br/api/v2/eventos/75355";"";"2024-12-19T10:00:00";"";"Cancelada";"Destinada à deliberação do Projeto de Lei do Congresso Nacional n. 26 de 2024 (PLOA).";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"75367";"https://dadosabertos.camara.leg.br/api/v2/eventos/75367";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2844805";"2024-12-19T10:00:00";"2024-12-19T13:15:00";"Encerrada (Final)";"Mesa de abertura:

- ALEX LACERDA DE SOUZA (Participação virtual)

Superintendente do Ibama no Pará
 - Ministério do Meio Ambiente e Mudanças Climáticas



- CINTHIA BARROS DOS SANTOS MIRANDA (Participação virtual)

Coordenadora-Geral do Serviço de Situações de Calamidades Públicas e Emergências no SUAS
 - Ministério de Desenvolvimento Social

 

- DUNCKER SOARES (Participação virtual)
Coordenador de Aquisição e Distribuição de Alimentos - Ministério de Desenvolvimento Social



- VEREADOR BIGA 
Câmara Municipal de Vereadores de Santarém



- JOÃO ANTÔNIO PAIVA DE ALBUQUERQUE

Secretário Municipal de Meio Ambiente do Município de Santarém

- PROFESSOR MESTRE ADRIANO ARAÚJO

Instituto Federal do Pará - Campus Santarém



- 
Representante da Universidade Federal do Oeste do Pará







Mesa de Debates: 


- 
MARGARETE MAYTAPU

Conselho Indígena Tapajós e Arapiuns - CITA  



- EDILSON SILVEIRA FIGUEIRA

Conselho Nacional das Populações Extrativistas - CNS 



- MIRIANE COSTA COELHO

Presidenta da Federação das Organizações Quilombolas de Santarém - FOQS



- IVETE BASTOS

Sindicato dos Trabalhadores e das Trabalhadoras Rurais - STTR Santarém 



- CLÁUDIA SANTANA

Federação das Associações de Moradores e Organizações Comunitárias - FAMCOS 



- JOSANA PINTO DA COSTA

Movimento dos Pescadores e Pescadoras Artesanais do Brasil - MPP 



- PRISCILA TAPAJOARA

Instituto Território das Artes -  ITA 



- CAETANO SCANNAVINO

Projeto Saúde e Alegria - PSA 
 


- ROSIVETE FERREIRA DA SILVA 

Grupo de Defesa da Amazônia - GDA



- PADRE EDILBERTO SENA

Movimento Tapajós Vivo - MTV";"Mesa Redonda";"Plenário da Câmara Municipal de Vereadores de Santarém/PA";"";"";"";""
"75366";"https://dadosabertos.camara.leg.br/api/v2/eventos/75366";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2844541";"2024-12-18T16:49:00";"2024-12-18T20:32:00";"Encerrada";"Teste de Painel Eletrônico";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 04";"";"";""
"75363";"https://dadosabertos.camara.leg.br/api/v2/eventos/75363";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2845392";"2024-12-18T14:00:00";"2024-12-18T23:34:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"75354";"https://dadosabertos.camara.leg.br/api/v2/eventos/75354";"";"2024-12-18T10:45:00";"2024-12-18T13:32:00";"Encerrada";"Destinada à deliberação dos Projetos de Lei do Congresso Nacional nºs 3 (PLDO), 14, 15, 16, 17, 18, 19, 20, 23, 27, 28, 30, 31, 32, 33, 34, 36, 37, 38 e 39 de 2024.";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"75351";"https://dadosabertos.camara.leg.br/api/v2/eventos/75351";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2841992";"2024-12-18T10:00:55";"2024-12-18T11:52:58";"Encerrada (Final)";"CONVIDADOS

1. Bruno França - Rede de Vigilância Popular em Saneamento e Saúde do Rio de Janeiro; 

2. Vítor Soares Duque Estrada - Presidente do Sindicato dos Trabalhadores nas Empresas de Saneamento Básico e Meio Ambiente do Rio de Janeiro e Região - Sintsama

3. Ary Gabriel Girota Souza - Sindicato dos Trabalhadores em Serviços de Água e Esgoto do Estado do Rio de Janeiro - Sindágua-RJ

4. Edson Aparecido da Silva - Presidente da Federação Nacional dos Urbanitários - FNU

5. Helio José Anomal de Almeida - Representante da luta de Campos/RJ 

6. João Ricardo de Mattos Serafim - Representante da luta de Niterói/RJ

7. Vicente Fiametti Lutz - Representante da luta no Rio Grande do Sul 

8. José Antonio Faggian - Representante da luta em São Paulo (a confirmar)

9. Dafne Orion Ceres da Silva   - Representante da luta em Alagoas

10. Silvio Ricardo de Sá  - Representante da luta em Sergipe 

11. Narciso Jose Fonseca de Senna Pereira - Representante da luta no Pará 

12. Representante da luta de um dos estados do Centro-Oeste 

13. Renata de Faria Rocha - Observatório Nacional dos Direitos à Água e ao Saneamento - ONDAS

14. Merci Fardin - Observatório Capixaba das Águas e Meio Ambiente

15. Agência Nacional de Águas - ANA

16. Luciene Ferreira Monteiro Machado - Banco Nacional de Desenvolvimento Econômico e Social - BNDES

17. Charlene Borges - Presidente do Conselho Nacional de Direitos Humanos (CNDH)";"Audiência Pública";"";"Anexo II, Plenário 03";"";"";""
