"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";""
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Fdr PSOL-REDE";"";"Não"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";""
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Oposição";"";"Sim"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Solidaried";"";""
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Governo";"";"Não"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";""
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Fdr PT-PCdoB-PV";"";"Não"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"PRD";"https://dadosabertos.camara.leg.br/api/v2/partidos/38010";""
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Bl UniPpPsd...";"";"Sim"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Minoria";"";"Sim"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Missão";"https://dadosabertos.camara.leg.br/api/v2/partidos/38011";""
"2629954-8";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2629954-8";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 311; Não: 135; Abstenção: 2; Total: 448.";"Maioria";"";"Liberado"
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Fdr PT-PCdoB-PV";"";"Não"
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Missão";"https://dadosabertos.camara.leg.br/api/v2/partidos/38011";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Governo";"";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Maioria";"";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Oposição";"";"Sim"
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Bl UniPpPsd...";"";"Sim"
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Solidaried";"";"Sim"
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"PRD";"https://dadosabertos.camara.leg.br/api/v2/partidos/38010";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Fdr PSOL-REDE";"";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";""
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"Minoria";"";"Sim"
"2351506-122";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-122";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 5, de 2023. Sim: 368; Não: 96; Abstenção: 7; Total: 471.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Missão";"https://dadosabertos.camara.leg.br/api/v2/partidos/38011";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Solidaried";"";"Sim"
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Bl UniPpPsd...";"";"Sim"
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Governo";"";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Maioria";"";"Liberado"
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Fdr PT-PCdoB-PV";"";"Não"
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"PRD";"https://dadosabertos.camara.leg.br/api/v2/partidos/38010";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Minoria";"";"Sim"
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Fdr PSOL-REDE";"";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";""
"2351506-115";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-115";"PLEN";"Mantido o texto. Sim: 335; Não: 117; Abstenção: 5; Total: 457.";"Oposição";"";"Sim"
"2351506-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351506-112";"PLEN";"Mantido o texto. Sim: 342; Não: 113; Abstenção: 5; Total: 460.";"Fdr PSOL-REDE";"";""
