"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"Sim"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"Governo";"";"Não"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"Oposição";"";"Sim"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"Maioria";"";"Não"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"Fdr PT-PCdoB-PV";"";"Não"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"1302214-131";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-131";"CCJC";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Resultado:  44 votos ""Sim"", 14 votos ""Não"". Quórum de votação: 58 votos.";"Minoria";"";"Sim"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"REPUBLICANOS";"";"Sim"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"Oposição";"";"Sim"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"Sim"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"Maioria";"";"Não"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"Fdr PT-PCdoB-PV";"";"Não"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"Minoria";"";"Sim"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"Fdr PSOL-REDE";"";"Não"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"Governo";"";"Não"
"1302214-128";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-128";"CCJC";"Aprovado o Parecer,  ressalvado o Destaque com o seguinte resultado: 41 votos ""Sim"", 15 votos ""Não"". Quórum de votação: 56 votos.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"Não"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Não"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"Maioria";"";"Sim"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"Fdr PT-PCdoB-PV";"";"Sim"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"Fdr PSOL-REDE";"";"Sim"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"Governo";"";"Sim"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Não"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Não"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Não"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"Oposição";"";"Não"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"1302214-120";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1302214-120";"CCJC";"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  15 votos ""Sim"", 43 votos ""Não"". Quórum de votação: 58 votos.";"Minoria";"";"Não"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Fdr PSOL-REDE";"";"Sim"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Governo";"";"Sim"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Maioria";"";"Sim"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Oposição";"";"Não"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Fdr PT-PCdoB-PV";"";"Sim"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Bl AvanSolidPrd...";"";"Sim"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Minoria";"";"Não"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";""
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Bl UniPpPsd...";"";"Sim"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"2520670-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-66";"PLEN";"Mantido o texto. Sim: 286; Não: 116; Total: 402.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Não"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Obstrução"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Governo";"";"Sim"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Obstrução"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Bl AvanSolidPrd...";"";"Sim"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Fdr PSOL-REDE";"";"Sim"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Fdr PT-PCdoB-PV";"";"Sim"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Maioria";"";"Sim"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Minoria";"";"Obstrução"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Bl UniPpPsd...";"";"Sim"
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";""
"2520670-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-52";"PLEN";"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei Complementar nº 128, de 2025, adotada pelo relator da Comissão de Desenvolvimento Econômico, ressalvado o destaque. Sim: 310; Não: 85; Abstenção: 1; Total: 396.";"Oposição";"";"Obstrução"
"2520670-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-46";"PLEN";"Aprovado o Requerimento. Sim: 276; Não: 67; Total: 343.";"Maioria";"";"Sim"
"2520670-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-46";"PLEN";"Aprovado o Requerimento. Sim: 276; Não: 67; Total: 343.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Não"
"2520670-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-46";"PLEN";"Aprovado o Requerimento. Sim: 276; Não: 67; Total: 343.";"Bl UniPpPsd...";"";"Sim"
"2520670-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2520670-46";"PLEN";"Aprovado o Requerimento. Sim: 276; Não: 67; Total: 343.";"Fdr PT-PCdoB-PV";"";"Sim"
