Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
      104552 | MARIA DO SOCORRO NERI MEDEIROS DE SOUZA             | AC       | PP            |  1804495.96
      220666 | LUIZ DE FRANÇA E SILVA MEIRA                        | PE       | PL            |  1803845.44
      160559 | ALCEU MOREIRA DA SILVA                              | RS       | MDB           |  1803379.52
      220672 | HENDERSON LIRA PINTO                                | PA       | UNIAO         |  1802910.78
       74043 | JOSÉ WELLINGTON ROBERTO                             | PB       | PSD           |  1799856.15
      160673 | GIOVANI CHERINI                                     | RS       | PL            |  1798021.54
      180214 | RAIMUNDO DINIZ ARAÚJO                               | RR       | UNIAO         |  1795940.28
      220548 | CAMILA BAZACHI JARA MARZOCHI                        | MS       | PT            |  1794980.21
      220669 | LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE | PE       | PP            |  1794881.77
      178929 | DIEGO ALEXSANDER GONCALO PAULA GARCIA               | PR       | UNIAO         |  1793263.31
      220685 | PAULO HENRIQUE COLETTI FERNANDES                    | PR       | UNIAO         |  1793235.17
      141485 | LUIZ CARLOS GHIORZZI BUSATO                         | RS       | UNIAO         |  1792319.98
      220561 | KATARINA FEITOZA LIMA SANTANA                       | SE       | PSD           |  1788423.75
      220573 | DORINALDO BARBOSA MALAFAIA                          | AP       | PDT           |  1788120.04
      220658 | LUIZ GASTÃO BITTENCOURT DA SILVA                    | CE       | PSD           |  1786557.96
      160665 | AUGUSTO RODRIGUES COUTINHO DE MELO                  | PE       | REPUBLICANOS  |  1782775.21
       73692 | OSMAR GASPARINI TERRA                               | RS       | PL            |  1781864.12
      122974 | PEDRO LUCAS ANDRADE FERNANDES RIBEIRO               | MA       | UNIAO         |  1781717.33
       74454 | EUNÍCIO LOPES DE OLIVEIRA                           | CE       | MDB           |  1781221.46
      209189 | JOSEILDO RIBEIRO RAMOS                              | BA       | PT            |  1779102.55
       73768 | DILCEU JOÃO SPERAFICO                               | PR       | PP            |  1778217.36
      178829 | JOSE AUGUSTO ROSA                                   | SP       | PL            |  1778146.39
      220540 | DUDA BRITO RAMOS                                    | RR       | PODE          |  1776660.43
       62881 | FRANCISCO DANILO BASTOS FORTE                       | CE       | PP            |  1774453.03
      204396 | NELSI COGUETTO MARIA                                | PR       | PL            |  1774169.48
      220555 | DAIANA SILVA DOS SANTOS                             | RS       | PCDOB         |  1773195.89
      220597 | THIAGO LEITE FLORES PEREIRA                         | RO       | UNIAO         |  1771992.53
      160635 | RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR         | PB       | PODE          |  1770346.36
      220671 | DILVANDA FURTADO FARO                               | PA       | PT            |  1769654.02
      178934 | ANTONIO WANDSCHEER                                  | PR       | PP            |  1765943.78
      220588 | ROBERTO DUARTE JUNIOR                               | AC       | REPUBLICANOS  |  1765770.59
       69871 | JOAO CARLOS BACELAR BATISTA                         | BA       | PV            |  1764881.14
      220675 | ANTONIO LEOCÁDIO DOS SANTOS                         | PA       | MDB           |  1761356.50
      178887 | RUBENS PEREIRA E SILVA JUNIOR                       | MA       | PT            |  1759904.48
       88256 | CLODOALDO MAGALHÃES OLIVEIRA LYRA                   | PE       | PV            |  1759284.17
      153423 | RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE          | PA       | MDB           |  1753789.66
      204481 | JAZIEL PEREIRA DE SOUSA                             | CE       | PL            |  1753301.89
      220633 | RICARDO DE AQUINO SALLES                            | SP       | NOVO          |  1750866.69
      220557 | DANIELA CRISTINA REINEHR                            | SC       | PL            |  1750338.10
      109429 | LUIZ BENES LEOCADIO DE ARAUJO                       | RN       | UNIAO         |  1749982.61
      220684 | SEBASTIÃO HENRIQUE DE MEDEIROS                      | PR       | PP            |  1748865.52
      162067 | FRANCISCO DANIEL CELEGUIM DE MORAIS                 | SP       | PT            |  1746970.01
      178843 | MARX BELTRÃO LIMA SIQUEIRA                          | AL       | UNIAO         |  1746766.67
      204416 | UBIRATAN ANTUNES SANDERSON                          | RS       | PL            |  1745119.60
       74376 | VANDER LUIZ DOS SANTOS LOUBET                       | MS       | PT            |  1743617.76
      220697 | JADYEL SILVA ALENCAR                                | PI       | REPUBLICANOS  |  1741857.77
      178963 | LUIS ANTONIO FRANCISCATTO COVATTI                   | RS       | PP            |  1739144.52
      220609 | MAURICIO FONSECA RIBEIRO CARVALHO DE MORAES         | RO       | UNIAO         |  1738564.19
      204408 | LUIZ AUGUSTO CARVALHO RIBEIRO FILHO                 | SE       | PP            |  1737930.20
      204409 | DANIEL TRZECIAK DUARTE                              | RS       | PSDB          |  1735992.97
      220663 | JOSÉ ERIBERTO MEDEIROS DE OLIVEIRA                  | PE       | PSB           |  1734782.76
      178927 | ALIEL MACHADO BARK                                  | PR       | PV            |  1734739.91
      220703 | ORLANDO SULZ DE ALMEIDA NETO                        | BA       | AVANTE        |  1734324.80
      160600 | ARTHUR DE OLIVEIRA MAIA DA SILVA                    | BA       | UNIAO         |  1732355.24
      220701 | MATHEUS ARAUJO LAIOLA                               | PR       | UNIAO         |  1732223.36
      160553 | ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO        | BA       | PSD           |  1731936.94
      141470 | JOSÉ NOBRE GUIMARÃES                                | CE       | PT            |  1731468.95
      204504 | ANTONIO CEZAR CORREIA FREIRE                        | SP       | PL            |  1729366.72
      220640 | JULIANA CARDOSO                                     | SP       | PT            |  1725594.38
       92699 | FERNANDO MONTEIRO DE ALBUQUERQUE                    | PE       | PSD           |  1723582.42
      220556 | ANA PAULA DE SOUZA LIMA                             | SC       | PT            |  1720830.71
      204472 | JOSE ANTONIO DOS SANTOS MEDEIROS                    | MT       | PL            |  1720313.94
      220664 | GUILHERME A. UCHOA CAVALCANTI PESSOA DE MELO JUNIOR | PE       | PSD           |  1715483.16
      204567 | RAIMUNDO MAGALHÃES COSTA                            | BA       | PSD           |  1715362.92
      178860 | PAULO VELLOSO DANTAS AZI                            | BA       | UNIAO         |  1714940.10
      220668 | MARIA LEAL ARRAES DE ALENCAR                        | PE       | PSB           |  1714934.68
      160517 | PAULO ROBERTO FOLLETTO                              | ES       | PSB           |  1714829.92
      139285 | LÍDICE DA MATA E SOUZA                              | BA       | PSB           |  1714354.80
      220693 | Roberta de Araujo Costa Roma                        | BA       | PL            |  1713544.27
      204534 | TABATA CLAUDIA AMARAL DE PONTES                     | SP       | PSB           |  1713267.53
      210989 | BRUNO SOUZA FARIAS                                  | MG       | REPUBLICANOS  |  1712649.83
      123086 | ÁTILA DE MELO LIRA                                  | PI       | PP            |  1709264.07
      220624 | ROBINSON MESQUITA DE FARIA                          | RN       | PP            |  1707386.43
      220583 | FABIO MICHEY COSTA DA SILVA                         | AL       | PP            |  1707218.65
      204486 | CARLOS MAURO BENEVIDES FILHO                        | CE       | UNIAO         |  1704465.73
      220695 | ROGÉRIA DE ALMEIDA PEREIRA DOS SANTOS               | BA       | REPUBLICANOS  |  1704209.32
      220612 | Carlos Roberto Rodrigues                            | RJ       | PP            |  1703847.58
      178992 | VITOR LIPPI                                         | SP       | PSD           |  1703741.91
      160548 | JONAS DONIZETTE FERREIRA                            | SP       | PSB           |  1703318.52
      220692 | ADALBERTO ROSA BARRETO                              | BA       | UNIAO         |  1701004.86
      141398 | CARLOS ALBERTO ROLIM ZARATTINI                      | SP       | PT            |  1700903.22
       74383 | FERNANDO LÚCIO GIACOBO                              | PR       | PSD           |  1699879.60
      220529 | GILSON DANIEL BATISTA                               | ES       | PODE          |  1699179.66
      220696 | IVONEIDE SOUZA CAETANO                              | BA       | PT            |  1699085.51
      178993 | CARLOS HENRIQUE AMORIM                              | TO       | UNIAO         |  1698097.09
      160569 | WALDENOR ALVES PEREIRA FILHO                        | BA       | PT            |  1697795.79
      220656 | FERNANDA ENEIDA PESSOA CARACAS DE SOUZA             | CE       | PSD           |  1696389.20
       74428 | JOSÉ MENDONÇA BEZERRA FILHO                         | PE       | PL            |  1695535.62
      133439 | ANDRÉ PEIXOTO FIGUEIREDO LIMA                       | CE       | PDT           |  1695198.13
       74356 | SILAS CÂMARA                                        | AM       | REPUBLICANOS  |  1691660.17
      220599 | MARCELO BEZERRA CRIVELLA                            | RJ       | REPUBLICANOS  |  1691477.69
      162332 | LUIZ HILOSHI NISHIMORI                              | PR       | PSD           |  1691088.78
      204445 | FERNANDO WANDERLEY VARGAS DA SILVA                  | RN       | PT            |  1690455.85
      204495 | AIRTON LUIZ FALEIRO                                 | PA       | PT            |  1689417.10
      220559 | JULIA PEDROSO ZANATTA                               | SC       | PL            |  1686852.56
       74159 | ODAIR JOSÉ DA CUNHA                                 | MG       | PT            |  1686291.86
      220543 | RICARDO AYRES DE CARVALHO                           | TO       | REPUBLICANOS  |  1686040.68
      204488 | CELIO STUDART BARBOSA                               | CE       | PSD           |  1683595.32
      204367 | DANIEL COSTA DE FREITAS                             | SC       | PL            |  1682833.42
      204457 | ROGERIO TEIXEIRA JUNIOR                             | RJ       | PSDB          |  1682517.62
      220586 | RAFAEL DE GOES BRITO                                | AL       | MDB           |  1680679.94
       74317 | JÚLIO CÉSAR DE CARVALHO LIMA                        | PI       | PSD           |  1680352.23
      178933 | SERGIO DE SOUZA                                     | PR       | MDB           |  1680103.61
      204512 | MARCELO EDUARDO FREITAS                             | MG       | UNIAO         |  1679530.48
       80815 | LEONARDO SILVA PRATES                               | BA       | REPUBLICANOS  |  1678511.77
      220690 | ALDEN JOSE LAZARO DA SILVA                          | BA       | PL            |  1677123.11
      220626 | RAFAEL TADEU SIMÕES                                 | MG       | UNIAO         |  1675669.03
       74057 | ALICE MAZZUCO PORTUGAL                              | BA       | PCDOB         |  1675310.31
      220699 | JOSÉ DIAS DE CASTRO NETO                            | PI       | MDB           |  1672868.64
      160642 | FRANCISCO EURICO DA SILVA                           | PE       | PSDB          |  1671972.75
       92776 | STEFANO AGUIAR DOS SANTOS                           | MG       | PSD           |  1671271.35
      204427 | FERNANDO RODOLFO TENORIO DE VASCONCELOS             | PE       | PRD           |  1670446.43
      178871 | EVAIR VIEIRA DE MELO                                | ES       | REPUBLICANOS  |  1668499.41
      204351 | LUIZ ALBERTO OVANDO                                 | MS       | PP            |  1667317.08
      220620 | ROSANGELA DE OLIVEIRA CAMPOS REIS                   | MG       | PL            |  1667155.17
      160601 | MARCO ANTÔNIO FELICIANO                             | SP       | PL            |  1667027.49
      220603 | DANIELLE DYTZ DA CUNHA                              | RJ       | PL            |  1665318.79
       92102 | LEUR ANTONIO DE BRITTO LOMANTO JUNIOR               | BA       | UNIAO         |  1664976.74
      160758 | DOMINGOS SÁVIO CAMPOS RESENDE                       | MG       | PL            |  1664375.97
      220545 | FILIPE MARTINS DOS SANTOS                           | TO       | PL            |  1664298.79
      141464 | JOSÉ AIRTON FÉLIX CIRILO DA SILVA                   | CE       | PT            |  1663975.80
      204518 | FREDERICO DE CASTRO ESCALEIRA                       | MG       | PL            |  1663534.61
      220547 | MARCOS SBOROWSKI POLLON                             | MS       | PL            |  1660076.24
      220648 | FERNANDO JOSE DE SOUZA MARANGONI                    | SP       | PODE          |  1657981.93
      178857 | JORGE JOSE SANTOS PEREIRA SOLLA                     | BA       | PT            |  1657818.54
      220615 | HENRIQUE DOS SANTOS VIEIRA LIMA                     | RJ       | PSOL          |  1655052.51
      204356 | AMARO ROCHA NASCIMENTO NETO                         | ES       | PP            |  1652702.10
