"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2374400-110";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-110";"PLEN";"Aprovadas as Emendas do Senado Federal nº 1 (na parte em que altera os arts. 1º e 14 do PL 3.626, de 2023); e das Emendas nºs 2, 4 a 7, 10 a 15, 18 a 22, 25 a 28, 30, 31, 35, 37, 39, 41 e 42. Sim: 292; não: 114; abstenção: 1; total: 407.";"Bl UniPpFdrPsdbCid...";"";"Sim"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Fdr PSOL-REDE";"";"Não"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Governo";"";"Não"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Minoria";"";"Sim"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Bl MdbPsdRepPode";"";"Liberado"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Oposição";"";"Liberado"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Bl UniPpFdrPsdbCid...";"";"Não"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Fdr PT-PCdoB-PV";"";"Não"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2374400-106";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-106";"PLEN";"Rejeitado o Requerimento. Sim: 100; não: 275; total: 375.";"Maioria";"";"Não"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Fdr PT-PCdoB-PV";"";"Não"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Oposição";"";"Liberado"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Minoria";"";"Sim"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Bl MdbPsdRepPode";"";"Liberado"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Governo";"";"Não"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Maioria";"";"Não"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Bl UniPpFdrPsdbCid...";"";"Não"
"2374400-101";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2374400-101";"PLEN";"Rejeitado o Requerimento. Sim: 106; não: 281; total: 387.";"Fdr PSOL-REDE";"";"Não"
