"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"71748";"https://dadosabertos.camara.leg.br/api/v2/eventos/71748";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2378773";"2023-12-20T14:00:00";"2023-12-20T16:00:00";"Encerrada (Final)";"CMULHER - Balanço das atividades desenvolvidas em 2023";"Reunião Técnica";"";"Gabinete da Presidência";"";"";""
"71751";"https://dadosabertos.camara.leg.br/api/v2/eventos/71751";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2378874";"2023-12-20T14:00:00";"";"Cancelada";"Comparecimento da Ministra do Meio Ambiente e Mudança do Clima, Marina Silva, para esclarecer os seguintes temas:

1) Esclarecimentos acerca do fato de o Instituto de Pesquisa Ambiental da Amazônia (Ipam) ter recebido R$ 35 milhões do Fundo Amazônia em 2022 e ter gasto R$ 24 milhões com consultorias e viagens. (REQ 520/2023 - Dep. Eduardo Bolsonaro);

2) Esclarecimentos sobre os projetos de conservação ambiental realizados por Organizações Não Governamentais e Organizações da Sociedade Civil de Interesse Público, financiadas com recursos do Fundo Amazônia. (REQ 521/2023 - Dep. Junio Amaral);

3) Esclarecer as ações do ministério para enfrentar as queimadas na Amazônia. (REQ 522/2023 - Dep. Kim Kataguiri); e

4) Esclarecer o recebimento de 35 milhões de reais do Fundo Amazônia pela ONG a qual a ministra ocupa cargo de conselheira. (REQ 523/2023 - Dep. Kim Kataguiri);

5) Esclarecimentos acerca das medidas que Governo tem adotado para proteger a pesca artesanal. (REQ 528/2023 - Dep. Evair Vieira de Melo);

6) Esclarecimentos acerca de sua alegação de que a culpa pelos 40 mil focos de incêndio no Pantanal Sul-Mato-Grossense, neste ano, é do Jair Bolsonaro. (REQ 530/2023 - Dep. Evair Vieira de Melo)";"Reunião de Comparecimento de Ministro(a)";"";"Anexo II, Plenário 09";"";"";""
"71730";"https://dadosabertos.camara.leg.br/api/v2/eventos/71730";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377527";"2023-12-20T13:22:47";"2023-12-20T13:53:51";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 04";"";"";""
"71701";"https://dadosabertos.camara.leg.br/api/v2/eventos/71701";"";"2023-12-20T12:02:38";"2023-12-20T12:58:59";"Encerrada";"PAUTA SUJEITA A ALTERAÇÕES


Apreciação de Parecer Preliminar:

- Leitura, discussão e votação do Parecer Preliminar do Deputado Acácio Favacho - MDB/AP, Relator do processo referente à Representação nº 22/23, do Partido Liberal - PL, em desfavor da Deputada Sâmia Bomfim - PSOL/SP.";"Reunião Deliberativa";"";"Anexo II, Plenário 12";"";"";""
"71715";"https://dadosabertos.camara.leg.br/api/v2/eventos/71715";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376249";"2023-12-20T11:00:00";"";"Encerrada (Termo)";"Deliberação de Requerimentos (estão sujeitos a pauta os requerimentos apresentados até 24h antes do horário da reunião)";"Reunião Deliberativa";"";"Anexo II, Plenário 08";"";"";""
"71543";"https://dadosabertos.camara.leg.br/api/v2/eventos/71543";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2371730";"2023-12-20T11:45:39";"2023-12-20T13:35:23";"Encerrada (Final)";"Requerimentos nº 119/23  e nº 120/23 - do Deputado Ivan Valente (PSOL/SP) 

Convidados: 


ROBERTA LIMA BARBOSA BOMFIM (presença confirmada - remota)
Procuradora-Chefe da Procuradoria da República em Alagoas (PR/AL)
JOÃO HENRIQUE CALDAS
Prefeito de Maceió
JEAN PAUL PEREIRA MELO (presença confirmada)
Representante do Instituto do Meio Ambiente de Alagoas (IMA-AL)
RICARDO CÉSAR DE BARROS OLIVEIRA (presença confirmada)
Coordenador do Gerenciamento Costeiro do Instituto do Meio Ambiente de Alagoas (IMA-AL
JÓ PEREIRA
Secretária Municipal de Educação de Maceió (SEMED)
LUIZ ROMERO
Secretário Municipal de Saúde de Maceió (SMS)
CÁSSIO ARAÚJO  (presença confirmada - remota)
Coordenador-Geral da Associação do Movimento Unificado das Vítimas da Braskem (MUVB)
PAULO CESAR PEREIRA MARQUES (presença confirmada - remota)
Representante do Movimento pela Soberania Popular na Mineração (MAM)
ALEXANDRE SAMPAIO (presença confirmada - remota)
Presidente da Associação dos Empreendedores e Vítimas da Mineração em Maceió
DILSON FERREIRA (presença confirmada - remota)
Professor da Universidade Federal de Alagoas (UFAL)
DIEGO BRUNO MARTINS ALVES (presença confirmada - remota)
Defensor Público da União 

MINISTRO BRUNO DANTAS (não comparecerá)
Presidente do Tribunal de Contas da União (TCU)
INÁCIO MELO (não comparecerá)
Presidente do Serviço Geológico do Brasil (SGB)
ROBERTO BISCHOFF (não comparecerá)
Diretor-Presidente da Empresa Braskem";"Audiência Pública";"";"Anexo II, Plenário 10";"";"";""
"71686";"https://dadosabertos.camara.leg.br/api/v2/eventos/71686";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376444";"2023-12-20T11:25:03";"2023-12-20T12:25:42";"Encerrada (Final)";"A - RELATÓRIO 1/2023 - Relatório Final da Subcomissão Destinada a tratar da ""Crise Energética no Amapá"".";"Reunião Deliberativa";"";"Anexo II, Plenário 16";"";"";""
"71726";"https://dadosabertos.camara.leg.br/api/v2/eventos/71726";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2377078";"2023-12-20T10:30:00";"";"Encerrada (Termo)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 11";"";"";""
"71746";"https://dadosabertos.camara.leg.br/api/v2/eventos/71746";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2378714";"2023-12-20T12:21:44";"2023-12-20T13:02:09";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 09";"";"";""
"71680";"https://dadosabertos.camara.leg.br/api/v2/eventos/71680";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2376720";"2023-12-20T11:06:24";"2023-12-20T11:58:00";"Encerrada (Final)";"Discussão e votação de propostas legislativas";"Reunião Deliberativa";"";"Anexo II, Plenário 04";"";"";""
