comunidade | id_deputado |                                nome | sigla_partido | sigla_uf | votacoes_validas | qtd_conexoes | grau_ponderado
-----------+-------------+-------------------------------------+---------------+----------+------------------+--------------+---------------
         1 |      205476 |                   Charles Fernandes |           PSD |       BA |              878 |          371 |       236.1114
         1 |      220677 |                      Keniston Braga |           MDB |       PA |              848 |          370 |       236.0379
         1 |      220669 |                       Lula da Fonte |            PP |       PE |              852 |          371 |       235.8486
         1 |      220592 |                     Zezinho Barbary |            PP |       AC |              843 |          367 |       235.4630
         1 |      220622 |                         Nely Aquino |          PODE |       MG |              828 |          370 |       235.3511
         1 |      160666 |               Félix Mendonça Júnior |           PDT |       BA |              960 |          377 |       234.7527
         1 |      178858 |                Mário Negromonte Jr. |            PP |       BA |              860 |          367 |       234.7468
         1 |      220577 |                      Augusto Puppio |           MDB |       AP |              660 |          348 |       234.7221
         1 |      220676 |                    Andreia Siqueira |           MDB |       PA |              797 |          367 |       233.9573
         1 |      220539 |               Defensor Stélio Dener |  REPUBLICANOS |       RR |             1049 |          372 |       233.1451
         1 |      153423 |                   Renilce Nicodemos |           MDB |       PA |              658 |          360 |       232.7335
         1 |      220543 |                       Ricardo Ayres |  REPUBLICANOS |       TO |             1112 |          370 |       232.5335
         1 |      141421 |                    Eduardo da Fonte |            PP |       PE |              878 |          368 |       232.1782
         1 |      220681 |                        Fábio Macedo |          PODE |       MA |              724 |          366 |       231.8464
         1 |       66385 |                     Julio Arcoverde |            PP |       PI |              739 |          360 |       230.7386
         1 |      204457 |                     Juninho do Pneu |         UNIAO |       RJ |              957 |          355 |       230.5334
         1 |       74550 |                           João Leão |            PP |       BA |              762 |          360 |       230.5074
         1 |      143942 |                         Caio Vianna |           PSD |       RJ |              594 |          362 |       230.0734
         1 |       74079 |                        José Priante |           MDB |       PA |              553 |          346 |       229.7247
         1 |       74537 |                      Claudio Cajado |            PP |       BA |              903 |          355 |       229.6747
         1 |      160553 |                       Antonio Brito |           PSD |       BA |              391 |          327 |       229.6410
         1 |      220561 |                   Delegada Katarina |           PSD |       SE |              966 |          372 |       229.0279
         1 |      220675 |                       Antônio Doido |           MDB |       PA |              921 |          365 |       228.7213
         1 |       74044 |                     Wilson Santiago |  REPUBLICANOS |       PB |              742 |          363 |       228.6690
         1 |      220692 |                         Dal Barreto |         UNIAO |       BA |              820 |          347 |       227.1661
         1 |      141531 |                   Rodrigo de Castro |         UNIAO |       MG |              892 |          358 |       227.1547
         1 |      220697 |                      Jadyel Alencar |  REPUBLICANOS |       PI |              762 |          354 |       226.4778
         1 |      143632 |                       Domingos Neto |           PSD |       CE |              575 |          350 |       226.0138
         1 |      122974 |               Pedro Lucas Fernandes |         UNIAO |       MA |              759 |          349 |       225.9421
         1 |      220585 |                     Mersinho Lucena |            PP |       PB |              717 |          341 |       225.3828
         1 |      220586 |                        Rafael Brito |           MDB |       AL |              865 |          372 |       225.0837
         1 |      220537 |                         Helena Lima |           PSD |       RR |              657 |          358 |       225.0826
         1 |       74090 |                          Átila Lins |           PSD |       AM |              748 |          359 |       225.0222
         1 |      204422 |                       Ossesio Silva |  REPUBLICANOS |       PE |              821 |          339 |       223.9477
         1 |      220641 |                     Rodrigo Gambale |          PODE |       SP |              999 |          371 |       223.7657
         1 |      204573 |                  Otto Alencar Filho |           PSD |       BA |              780 |          364 |       223.6226
         1 |       74467 |                    Damião Feliciano |         UNIAO |       PB |              819 |          356 |       223.4564
         1 |      220714 |                         Adail Filho |  REPUBLICANOS |       AM |             1011 |          341 |       222.1505
         1 |      220538 |                         Albuquerque |  REPUBLICANOS |       RR |              908 |          337 |       220.5086
         1 |      218086 |                          Ely Santos |  REPUBLICANOS |       SP |              903 |          337 |       220.4442
         1 |      220564 |                        Yandra Moura |         UNIAO |       SE |              628 |          351 |       219.8584
         1 |      220528 |                 Dr. Victor Linhalis |          PODE |       ES |              837 |          360 |       219.5360
         1 |      178975 |                        Baleia Rossi |           MDB |       SP |              633 |          340 |       219.1194
         1 |      220701 |             Delegado Matheus Laiola |         UNIAO |       PR |             1038 |          367 |       217.9258
         1 |      160674 |                          Hugo Motta |  REPUBLICANOS |       PB |              338 |          331 |       217.2471
         1 |      204566 |                       Marreca Filho |           PRD |       MA |              594 |          346 |       216.9694
         1 |      220660 |                     Yury do Paredão |           MDB |       CE |              678 |          352 |       216.6853
         1 |      220656 |                     Fernanda Pessoa |           PSD |       CE |              908 |          331 |       215.5626
         1 |      171623 |                          Fabio Reis |           PSD |       SE |              422 |          339 |       214.6998
         1 |      220695 |                      Rogéria Santos |  REPUBLICANOS |       BA |              885 |          334 |       214.6190
         1 |      224117 |                        Gabriel Mota |  REPUBLICANOS |       RR |             1012 |          324 |       213.0622
         1 |      220536 |                Zé Haroldo Cathedral |           PSD |       RR |              982 |          368 |       212.0713
         1 |      204567 |                      Raimundo Costa |          PODE |       BA |              751 |          356 |       211.9558
         1 |      220617 |                      Murillo Gouvea |         UNIAO |       RJ |              964 |          326 |       211.5753
         1 |       74454 |                    Eunício Oliveira |           MDB |       CE |              575 |          342 |       211.0960
         1 |      220658 |                         Luiz Gastão |           PSD |       CE |              827 |          347 |       211.0107
         1 |      160976 |                            Tiririca |           PSD |       SP |              844 |          364 |       210.4583
         1 |      204494 |                          Fred Costa |           PRD |       MG |              423 |          325 |       210.0064
         1 |      109429 |                      Benes Leocádio |         UNIAO |       RN |             1030 |          318 |       208.9431
         1 |      123756 |                       Antônia Lúcia |  REPUBLICANOS |       AC |              823 |          318 |       207.8286
         1 |       74374 |                     Geraldo Resende |          PSDB |       MS |              957 |          364 |       207.8279
         1 |      220531 |                       Gilvan Maximo |  REPUBLICANOS |       DF |              617 |          328 |       207.4825
         1 |      204574 |                     Junior Lourenço |            PL |       MA |              587 |          330 |       206.7697
         1 |      178989 |                        Renata Abreu |          PODE |       SP |              696 |          359 |       206.7393
         1 |      221339 |                        Dr. Benjamim |         UNIAO |       MA |              445 |          331 |       206.4131
         1 |      220646 |                       Felipe Becari |         UNIAO |       SP |              692 |          356 |       205.8644
         1 |      210989 |                        Bruno Farias |  REPUBLICANOS |       MG |              846 |          316 |       204.9672
         1 |       66828 |                       Fausto Pinato |            PP |       SP |              851 |          330 |       204.5526
         1 |       74554 |                          José Rocha |         UNIAO |       BA |              816 |          316 |       204.2954
