Q8 complemento - ranking completo de influencia legislativa global
Tabela principal - ranking completo de influencia legislativa global
id_deputado |                                nome | proposicoes_autoria | proposicoes_aprovadas | pct_aprovadas
     178927 |                       Aliel Machado |                 109 |                     0 |          0.00
     204353 |                        Aline Gurgel |                  13 |                     0 |          0.00
     226708 |                        Allan Garcês |                  45 |                     0 |          0.00
     178831 |                         André Abdon |                   2 |                     0 |          0.00
     204423 |                      André Ferreira |                 258 |                     0 |          0.00
     178882 |                        André Fufuca |                 126 |                     0 |          0.00
     204515 |                       André Janones |                  91 |                     0 |          0.00
     220549 |                           Any Ortiz |                 382 |                     0 |          0.00
     141391 |                      Arnaldo Jardim |                 243 |                     0 |          0.00
     160541 |                         Arthur Lira |                   2 |                     0 |          0.00
     160600 |                Arthur Oliveira Maia |                 292 |                     0 |          0.00
     160665 |                    Augusto Coutinho |                 599 |                     0 |          0.00
      74646 |                         Aécio Neves |                  24 |                     0 |          0.00
      69871 |                             Bacelar |                 461 |                     0 |          0.00
     220605 |                   Bandeira de Mello |                 313 |                     0 |          0.00
     220612 |                              Bebeto |                 310 |                     0 |          0.00
     109429 |                      Benes Leocádio |                 165 |                     0 |          0.00
     204358 |                        Beto Pereira |                 126 |                     0 |          0.00
     220683 |                          Beto Richa |                 258 |                     0 |          0.00
     210989 |                        Bruno Farias |                 294 |                     0 |          0.00
     220635 |                         Bruno Ganem |                 250 |                     0 |          0.00
     143942 |                         Caio Vianna |                 134 |                     0 |          0.00
     220690 |                       Capitão Alden |                 633 |                     0 |          0.00
     213762 |                       Carla Dickson |                  87 |                     0 |          0.00
     204507 |                      Carla Zambelli |                 265 |                     0 |          0.00
     178993 |              Carlos Henrique Gaguim |                 449 |                     0 |          0.00
      74262 |                      Carlos Sampaio |                 115 |                     0 |          0.00
     204426 |                        Carlos Veras |                 876 |                     0 |          0.00
     164360 |                      Carmen Zanotto |                   5 |                     0 |          0.00
     204462 |                      Chris Tonietto |                 987 |                     0 |          0.00
     220665 |                     Clarissa Tércio |                 260 |                     0 |          0.00
     220594 |                       Coronel Assis |                 309 |                     0 |          0.00
     204378 |                 Coronel Chrisóstomo |                 455 |                     0 |          0.00
     178963 |                       Covatti Filho |                 295 |                     0 |          0.00
     220608 |                     Cristiane Lopes |                 344 |                     0 |          0.00
     204488 |                       Célio Studart |                 343 |                     0 |          0.00
     220555 |                       Daiana Santos |                 396 |                     0 |          0.00
     220692 |                         Dal Barreto |                 144 |                     0 |          0.00
     220571 |                      Daniel Agrobom |                 301 |                     0 |          0.00
