Tabela complementar - gastos consolidados por categoria
 ano_dados |                     descricao_despesa                     | total_gasto  | qtd_lancamentos | pct_total 
      2026 | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             |  14915772.23 |            2295 |     18.49
      2026 | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR |  11930411.15 |            6682 |     14.79
      2026 | COMBUSTÍVEIS E LUBRIFICANTES.                             |   8970670.88 |           28258 |     11.12
      2026 | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |   1624201.46 |            3497 |      2.01
      2026 | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |   1369358.00 |              50 |      1.70
      2026 | TELEFONIA                                                 |    778675.34 |            2106 |      0.97
      2026 | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  |    434216.42 |             156 |      0.54
      2026 | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |    393890.35 |            5894 |      0.49
      2026 | PASSAGEM AÉREA - REEMBOLSO                                |    340942.58 |             116 |      0.42
      2026 | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |    232639.79 |            3032 |      0.29
      2026 | PASSAGEM AÉREA - RPA                                      |    135047.62 |              97 |      0.17
      2026 | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      |     81600.00 |              15 |      0.10
      2026 | SERVIÇOS POSTAIS                                          |     68209.59 |             121 |      0.08
      2026 | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |     62599.53 |             276 |      0.08
      2026 | ASSINATURA DE PUBLICAÇÕES                                 |     30427.11 |              97 |      0.04
      2026 | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |      7000.00 |               1 |      0.01
      2026 | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               |       925.80 |               4 |      0.00
(73 rows)


Tabela complementar global - gastos consolidados por categoria global
 ano_dados |                     descricao_despesa                     | total_gasto  | qtd_lancamentos | pct_total 
-----------+-----------------------------------------------------------+--------------+-----------------+-----------
 GLOBAL    | DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.                      | 332478211.72 |           56694 |     39.65
 GLOBAL    | PASSAGEM AÉREA - SIGEPA                                   | 142570296.93 |          125243 |     17.00
 GLOBAL    | LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES             | 135663062.89 |           23871 |     16.18
 GLOBAL    | MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR | 105911310.47 |           66056 |     12.63
 GLOBAL    | COMBUSTÍVEIS E LUBRIFICANTES.                             |  73006492.76 |          237763 |      8.71
 GLOBAL    | HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.    |  11749735.00 |           24953 |      1.40
 GLOBAL    | TELEFONIA                                                 |   9425127.08 |           45754 |      1.12
 GLOBAL    | LOCAÇÃO OU FRETAMENTO DE AERONAVES                        |   7415554.31 |             311 |      0.88
 GLOBAL    | SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.  |   4749028.74 |            1572 |      0.57
 GLOBAL    | PASSAGEM AÉREA - RPA                                      |   3883450.37 |            2917 |      0.46
 GLOBAL    | PASSAGEM AÉREA - REEMBOLSO                                |   3786150.33 |            1212 |      0.45
 GLOBAL    | SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO                 |   3653366.00 |           68486 |      0.44
 GLOBAL    | FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR                |   2382429.05 |           34554 |      0.28
 GLOBAL    | LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES                      |    785308.00 |             144 |      0.09
 GLOBAL    | PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS               |    458294.27 |            2608 |      0.05
 GLOBAL    | ASSINATURA DE PUBLICAÇÕES                                 |    251301.68 |             869 |      0.03
 GLOBAL    | SERVIÇOS POSTAIS                                          |    164188.65 |             288 |      0.02
 GLOBAL    | PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR         |    144623.27 |              25 |      0.02
 GLOBAL    | AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS               |     23866.95 |              58 |      0.00
 GLOBAL    | CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.             |      7000.00 |               1 |      0.00
(20 rows)

