ano_dados;eixo_principal;sigla_partido;sigla_uf;id_deputado;nome;voto_sim;voto_nao;voto_abstencao;voto_outro;votos_total;votos_classificados
2023;Ambiental e energetico;MDB;SP;74696;ALBERTO PEREIRA MOURÃO;8;1;0;0;9;9
2023;Ambiental e energetico;NOVO;RS;156190;MARCEL VAN HATTEM;11;2;0;0;13;13
2023;Ambiental e energetico;NOVO;SC;204365;GILSON MARQUES VIEIRA;16;2;0;0;18;18
2023;Ambiental e energetico;NOVO;SP;204528;ADRIANA MIGUEL VENTURA;8;1;0;0;9;9
2023;Ambiental e energetico;PATRIOTA;GO;166402;MAGDA MOFATTO HON;4;0;0;0;4;4
2023;Ambiental e energetico;PATRIOTA;MA;182146;WOLMER DE AZEVEDO ARAUJO;1;0;0;0;1;1
2023;Ambiental e energetico;PATRIOTA;MA;204566;ANTONIO DA CRUZ FILGUEIRA NETO;3;0;0;0;3;3
2023;Ambiental e energetico;PATRIOTA;MG;204494;FREDERICO BORGES DA COSTA;3;2;0;0;5;5
2023;Ambiental e energetico;PATRIOTA;MG;204518;FREDERICO DE CASTRO ESCALEIRA;7;1;0;0;8;8
2023;Ambiental e energetico;PATRIOTA;MG;220630;PEDRO DOSHIKAZU PIANCHAO AIHARA;5;6;0;0;11;11
2023;Ambiental e energetico;PATRIOTA;MG;227370;FELIPE MAURÍCIO SALIBA DE SOUZA;1;0;0;0;1;1
2023;Ambiental e energetico;PCDOB;BA;74057;ALICE MAZZUCO PORTUGAL;4;7;0;0;11;11
2023;Ambiental e energetico;PCDOB;BA;74060;DANIEL GOMES DE ALMEIDA;3;5;0;0;8;8
2023;Ambiental e energetico;PCDOB;MA;81055;MÁRCIO JERRY SARAIVA BARROSO;4;6;0;0;10;10
2023;Ambiental e energetico;PCDOB;PE;73801;RENILDO VASCONCELOS CALHEIROS;4;6;0;0;10;10
2023;Ambiental e energetico;PCDOB;RJ;74848;JANDIRA FEGHALI;4;6;0;0;10;10
2023;Ambiental e energetico;PCDOB;RS;220555;DAIANA SILVA DOS SANTOS;2;7;0;0;9;9
2023;Ambiental e energetico;PCDOB;SP;178987;ORLANDO SILVA DE JESUS JUNIOR;2;4;0;0;6;6
2023;Ambiental e energetico;PDT;AP;220573;DORINALDO BARBOSA MALAFAIA;2;7;0;0;9;9
2023;Ambiental e energetico;PDT;AP;220578;JOSENILDO SANTOS ABRANTES;2;8;0;0;10;10
2023;Ambiental e energetico;PDT;AP;220580;MARIA GORETH DA SILVA E SOUSA;1;6;0;0;7;7
2023;Ambiental e energetico;PDT;BA;160666;FELIX DE ALMEIDA MENDONÇA JÚNIOR;6;3;0;0;9;9
2023;Ambiental e energetico;PDT;BA;80815;LEONARDO SILVA PRATES;3;5;0;0;8;8
2023;Ambiental e energetico;PDT;CE;133439;ANDRÉ PEIXOTO FIGUEIREDO LIMA;2;8;0;0;10;10
2023;Ambiental e energetico;PDT;CE;204486;CARLOS MAURO BENEVIDES FILHO;2;8;0;0;10;10
2023;Ambiental e energetico;PDT;CE;204489;MARCOS ROBERIO RIBEIRO MONTEIRO;2;1;0;0;3;3
2023;Ambiental e energetico;PDT;CE;204533;ANTONIO IDILVAN DE LIMA ALENCAR;1;9;0;0;10;10
2023;Ambiental e energetico;PDT;CE;204541;EDUARDO HENRIQUE MAIA BISMARCK;4;9;0;0;13;13
2023;Ambiental e energetico;PDT;CE;74299;JOSÉ LEÔNIDAS DE MENEZES CRISTINO;1;5;0;0;6;6
2023;Ambiental e energetico;PDT;GO;160598;FLÁVIA CARREIRO ALBUQUERQUE MORAIS;1;5;0;0;6;6
2023;Ambiental e energetico;PDT;MA;220687;MARCIO JOSE HONAISER;5;1;0;0;6;6
2023;Ambiental e energetico;PDT;MG;220623;DUDA SALABERT ROSA;1;6;0;0;7;7
2023;Ambiental e energetico;PDT;MG;74158;MÁRIO LÚCIO HERINGER;0;8;0;0;8;8
2023;Ambiental e energetico;PDT;RJ;220604;MARCOS PAULO BARBOSA TAVARES;1;8;0;0;9;9
2023;Ambiental e energetico;PDT;RJ;220607;MAX RODRIGUES LEMOS;1;7;0;0;8;8
2023;Ambiental e energetico;PDT;RS;178835;AFONSO ANTUNES DA MOTTA;5;8;0;0;13;13
2023;Ambiental e energetico;PDT;RS;73486;DARCI POMPEO DE MATTOS;2;1;0;1;4;4
2023;Ambiental e energetico;PL;AM;204572;ALBERTO BARROS CAVALCANTE NETO;12;3;0;0;15;15
2023;Ambiental e energetico;PL;AP;160591;VINICIUS DE AZEVEDO GURGEL;4;1;0;0;5;5
2023;Ambiental e energetico;PL;AP;220575;SONIZE PIMENTEL DOS SANTOS BARBOSA;8;1;0;0;9;9
2023;Ambiental e energetico;PL;AP;220579;SILVIA NOBRE LOPES;8;2;0;0;10;10
2023;Ambiental e energetico;PL;BA;141458;JOÃO CARLOS PAOLILO BACELAR FILHO;5;0;0;0;5;5
2023;Ambiental e energetico;PL;BA;220690;ALDEN JOSE LAZARO DA SILVA;9;1;0;0;10;10
2023;Ambiental e energetico;PL;BA;220693;Roberta de Araujo Costa Roma;8;1;0;0;9;9
2023;Ambiental e energetico;PL;CE;204481;JAZIEL PEREIRA DE SOUSA;4;0;0;0;4;4
2023;Ambiental e energetico;PL;CE;204550;ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR;8;1;0;0;9;9
2023;Ambiental e energetico;PL;CE;220657;ANDRÉ FERNANDES DE MOURA;9;1;0;0;10;10
2023;Ambiental e energetico;PL;CE;220660;YURY BRUNO ALENCAR ARAUJO;6;2;0;0;8;8
2023;Ambiental e energetico;PL;CE;220661;MATHEUS SOARES NORONHA;7;0;0;0;7;7
2023;Ambiental e energetico;PL;CE;226075;PRISCILA BEZERRA DA COSTA;1;0;0;0;1;1
2023;Ambiental e energetico;PL;DF;204374;BEATRIZ KICIS TORRENTS DE SORDI;9;1;0;0;10;10
2023;Ambiental e energetico;PL;DF;73579;JOÃO ALBERTO FRAGA SILVA;11;1;0;0;12;12
2023;Ambiental e energetico;PL;ES;220526;GILVAN AGUIAR COSTA;8;2;0;0;10;10
2023;Ambiental e energetico;PL;GO;166402;MAGDA MOFATTO HON;5;1;0;0;6;6
2023;Ambiental e energetico;PL;GO;204390;ALCIDES RIBEIRO FILHO;7;1;0;0;8;8
2023;Ambiental e energetico;PL;GO;220568;GUSTAVO GAYER MACHADO DE ARAUJO;8;1;0;0;9;9
2023;Ambiental e energetico;PL;GO;220571;DANIEL VIEIRA RAMOS;9;1;0;0;10;10
2023;Ambiental e energetico;PL;MA;204563;JOSIMAR CUNHA RODRIGUES;4;0;0;0;4;4
2023;Ambiental e energetico;PL;MA;204570;GILDENEMIR DE LIMA SOUSA;7;0;0;0;7;7
2023;Ambiental e energetico;PL;MA;204574;JOSE LOURENÇO BOMFIM JUNIOR;7;0;0;0;7;7
2023;Ambiental e energetico;PL;MA;220689;MARIA DEUSDETE LIMA CUNHA RODRIGUES;3;0;0;0;3;3
2023;Ambiental e energetico;PL;MA;227310;SILVIO ANTONIO GUIMARAES MACHADO;1;0;0;0;1;1
2023;Ambiental e energetico;PL;MA;227323;LUCIANO RODRIGUES SEIDEL;1;0;0;0;1;1
2023;Ambiental e energetico;PL;MA;227324;HENRIQUE CESAR FERREIRA DE MELO LIMA JUNIOR;1;0;0;0;1;1
2023;Ambiental e energetico;PL;MG;160640;EROS FERREIRA BIONDINI;8;2;0;0;10;10
2023;Ambiental e energetico;PL;MG;160758;DOMINGOS SÁVIO CAMPOS RESENDE;9;1;0;0;10;10
