Q11_extra - Nuvem de palavras por partido: temas das proposicoes

Q11_extra - Frequencia de temas por partido (todos os anos)
 sigla_partido | tema                                        | frequencia 
 NOVO          | Meio Ambiente e Desenvolvimento Sustentável |         48 
 NOVO          | Processo Legislativo e Atuação Parlamentar  |         36 
 NOVO          | Agricultura, Pecuária, Pesca e Extrativismo |         35 
 NOVO          | Ciência, Tecnologia e Inovação              |         25 
 NOVO          | Direito e Justiça                           |         23 
 NOVO          | Direito e Defesa do Consumidor              |         22 
 NOVO          | Arte, Cultura e Religião                    |         21 
 NOVO          | Cidades e Desenvolvimento Urbano            |         21 
 NOVO          | Direito Penal e Processual Penal            |         20 
 NOVO          | Política, Partidos e Eleições               |         19 
 NOVO          | Direito Constitucional                      |         19 
 NOVO          | Direito Civil e Processual Civil            |         16 
 NOVO          | Estrutura Fundiária                         |         16 
 NOVO          | Esporte e Lazer                             |         10 
 NOVO          | Turismo                                     |          9 
 NOVO          | Homenagens e Datas Comemorativas            |          7 
 NOVO          | Ciências Sociais e Humanas                  |          1 
 PATRIOTA      | Defesa e Segurança                          |         50 
 PATRIOTA      | Administração Pública                       |         42 
 PATRIOTA      | Direitos Humanos e Minorias                 |         36 
 PATRIOTA      | Meio Ambiente e Desenvolvimento Sustentável |         32 
 PATRIOTA      | Saúde                                       |         29 
 PATRIOTA      | Direito Penal e Processual Penal            |         26 
 PATRIOTA      | Finanças Públicas e Orçamento               |         22 
 PATRIOTA      | Processo Legislativo e Atuação Parlamentar  |         18 
 PATRIOTA      | Trabalho e Emprego                          |         16 
 PATRIOTA      | Viação, Transporte e Mobilidade             |         10 
 PATRIOTA      | Educação                                    |         10 
 PATRIOTA      | Arte, Cultura e Religião                    |          9 
 PATRIOTA      | Indústria, Comércio e Serviços              |          8 
 PATRIOTA      | Energia, Recursos Hídricos e Minerais       |          7 
 PATRIOTA      | Esporte e Lazer                             |          7 
 PATRIOTA      | Direito e Defesa do Consumidor              |          6 
 PATRIOTA      | Relações Internacionais e Comércio Exterior |          6 
 PATRIOTA      | Economia                                    |          6 
 PATRIOTA      | Previdência e Assistência Social            |          6 
 PATRIOTA      | Estrutura Fundiária                         |          5 
 PATRIOTA      | Agricultura, Pecuária, Pesca e Extrativismo |          4 
 PATRIOTA      | Política, Partidos e Eleições               |          4 
 PATRIOTA      | Comunicações                                |          4 
 PATRIOTA      | Direito e Justiça                           |          3 
 PATRIOTA      | Direito Civil e Processual Civil            |          3 
 PATRIOTA      | Direito Constitucional                      |          3 
 PATRIOTA      | Homenagens e Datas Comemorativas            |          3 
 PATRIOTA      | Ciência, Tecnologia e Inovação              |          1 
 PATRIOTA      | Cidades e Desenvolvimento Urbano            |          1 
 PCDOB         | Direitos Humanos e Minorias                 |        102 
 PCDOB         | Trabalho e Emprego                          |         81 
 PCDOB         | Administração Pública                       |         60 
 PCDOB         | Saúde                                       |         57 
 PCDOB         | Finanças Públicas e Orçamento               |         41 
 PCDOB         | Defesa e Segurança                          |         34 
 PCDOB         | Homenagens e Datas Comemorativas            |         31 
 PCDOB         | Educação                                    |         27 
 PCDOB         | Arte, Cultura e Religião                    |         26 
 PCDOB         | Indústria, Comércio e Serviços              |         24 
 PCDOB         | Direito Penal e Processual Penal            |         22 
 PCDOB         | Previdência e Assistência Social            |         19 
 PCDOB         | Processo Legislativo e Atuação Parlamentar  |         18 
 PCDOB         | Comunicações                                |         16 
 PCDOB         | Direito e Defesa do Consumidor              |         13 
 PCDOB         | Viação, Transporte e Mobilidade             |         12 
 PCDOB         | Economia                                    |         12 
 PCDOB         | Esporte e Lazer                             |         11 
 PCDOB         | Direito e Justiça                           |         11 
 PCDOB         | Política, Partidos e Eleições               |         10 
 PCDOB         | Cidades e Desenvolvimento Urbano            |         10 
 PCDOB         | Meio Ambiente e Desenvolvimento Sustentável |          9 
 PCDOB         | Ciência, Tecnologia e Inovação              |          8 
 PCDOB         | Direito Constitucional                      |          8 
 PCDOB         | Energia, Recursos Hídricos e Minerais       |          6 
 PCDOB         | Agricultura, Pecuária, Pesca e Extrativismo |          5 
 PCDOB         | Relações Internacionais e Comércio Exterior |          5 
 PCDOB         | Direito Civil e Processual Civil            |          4 
 PCDOB         | Ciências Sociais e Humanas                  |          2 
 PCDOB         | Turismo                                     |          1 
 PDT           | Saúde                                       |       1457 
 PDT           | Direitos Humanos e Minorias                 |        841 
 PDT           | Finanças Públicas e Orçamento               |        713 
 PDT           | Educação                                    |        673 
 PDT           | Meio Ambiente e Desenvolvimento Sustentável |        536 
 PDT           | Administração Pública                       |        375 
 PDT           | Trabalho e Emprego                          |        275 
 PDT           | Defesa e Segurança                          |        226 
 PDT           | Viação, Transporte e Mobilidade             |        223 
 PDT           | Cidades e Desenvolvimento Urbano            |        221 
 PDT           | Indústria, Comércio e Serviços              |        185 
 PDT           | Economia                                    |        162 
 PDT           | Previdência e Assistência Social            |        142 
 PDT           | Esporte e Lazer                             |        137 
 PDT           | Direito Penal e Processual Penal            |        122 
 PDT           | Homenagens e Datas Comemorativas            |        116 
 PDT           | Energia, Recursos Hídricos e Minerais       |        109 
 PDT           | Direito e Defesa do Consumidor              |        106 
 PDT           | Agricultura, Pecuária, Pesca e Extrativismo |         99 
 PDT           | Comunicações                                |         79 
 PDT           | Ciência, Tecnologia e Inovação              |         73 
 PDT           | Direito Civil e Processual Civil            |         72 
 PDT           | Arte, Cultura e Religião                    |         66 
 PDT           | Processo Legislativo e Atuação Parlamentar  |         53 
 PDT           | Direito e Justiça                           |         45 
 PDT           | Relações Internacionais e Comércio Exterior |         33 
 PDT           | Turismo                                     |         27 
 PDT           | Política, Partidos e Eleições               |         25 
 PDT           | Direito Constitucional                      |         12 
 PDT           | Estrutura Fundiária                         |          7 
 PL            | Administração Pública                       |       2928 
 PL            | Defesa e Segurança                          |       1936 
 PL            | Direitos Humanos e Minorias                 |       1819 
 PL            | Finanças Públicas e Orçamento               |       1736 
 PL            | Saúde                                       |       1518 
 PL            | Economia                                    |        894 
 PL            | Direito Penal e Processual Penal            |        846 
 PL            | Educação                                    |        770 
 PL            | Viação, Transporte e Mobilidade             |        755 
 PL            | Relações Internacionais e Comércio Exterior |        686 
 PL            | Indústria, Comércio e Serviços              |        673 
 PL            | Trabalho e Emprego                          |        657 
 PL            | Meio Ambiente e Desenvolvimento Sustentável |        629 
 PL            | Agricultura, Pecuária, Pesca e Extrativismo |        539 
 PL            | Previdência e Assistência Social            |        526 
 PL            | Comunicações                                |        455 
 PL            | Arte, Cultura e Religião                    |        409 
 PL            | Cidades e Desenvolvimento Urbano            |        359 
 PL            | Energia, Recursos Hídricos e Minerais       |        358 
 PL            | Estrutura Fundiária                         |        289 
 PL            | Homenagens e Datas Comemorativas            |        279 
 PL            | Direito e Defesa do Consumidor              |        263 
 PL            | Direito Civil e Processual Civil            |        245 
 PL            | Direito e Justiça                           |        230 
 PL            | Esporte e Lazer                             |        222 
 PL            | Ciência, Tecnologia e Inovação              |        213 
 PL            | Processo Legislativo e Atuação Parlamentar  |        145 
 PL            | Política, Partidos e Eleições               |        130 
 PL            | Turismo                                     |        105 
 PL            | Direito Constitucional                      |         48 
 PL            | Ciências Sociais e Humanas                  |          4 
 PL            | Ciências Exatas e da Terra                  |          2 
 PODE          | Direitos Humanos e Minorias                 |        364 
 PODE          | Saúde                                       |        293 
 PODE          | Administração Pública                       |        273 
 PODE          | Defesa e Segurança                          |        236 
 PODE          | Finanças Públicas e Orçamento               |        205 
 PODE          | Trabalho e Emprego                          |        155 
 PODE          | Direito Penal e Processual Penal            |        154 
 PODE          | Meio Ambiente e Desenvolvimento Sustentável |        127 
 PODE          | Indústria, Comércio e Serviços              |        124 
 PODE          | Educação                                    |        120 
 PODE          | Viação, Transporte e Mobilidade             |        118 
 PODE          | Direito e Defesa do Consumidor              |         84 
 PODE          | Comunicações                                |         84 
 PODE          | Previdência e Assistência Social            |         81 
 PODE          | Economia                                    |         78 
 PODE          | Cidades e Desenvolvimento Urbano            |         60 
