Q11_extra - Nuvem de palavras por partido: temas das proposicoes

Q11_extra - Frequencia de temas por partido (todos os anos)
 sigla_partido | tema                                        | frequencia 
 2023      | PATRIOTA      | Energia, Recursos Hídricos e Minerais       |          7 
 2023      | PATRIOTA      | Esporte e Lazer                             |          7 
 2023      | PATRIOTA      | Direito e Defesa do Consumidor              |          6 
 2023      | PATRIOTA      | Relações Internacionais e Comércio Exterior |          6 
 2023      | PATRIOTA      | Economia                                    |          6 
 2023      | PATRIOTA      | Previdência e Assistência Social            |          6 
 2023      | PATRIOTA      | Estrutura Fundiária                         |          5 
 2023      | PATRIOTA      | Agricultura, Pecuária, Pesca e Extrativismo |          4 
 2023      | PATRIOTA      | Política, Partidos e Eleições               |          4 
 2023      | PATRIOTA      | Direito e Justiça                           |          3 
 2023      | PATRIOTA      | Direito Civil e Processual Civil            |          3 
 2023      | PATRIOTA      | Direito Constitucional                      |          3 
 2023      | PATRIOTA      | Homenagens e Datas Comemorativas            |          3 
 2023      | PATRIOTA      | Comunicações                                |          3 
 2023      | PATRIOTA      | Ciência, Tecnologia e Inovação              |          1 
 2023      | PATRIOTA      | Cidades e Desenvolvimento Urbano            |          1 
 2023      | PCDOB         | Direitos Humanos e Minorias                 |         27 
 2023      | PCDOB         | Homenagens e Datas Comemorativas            |         13 
 2023      | PCDOB         | Trabalho e Emprego                          |         12 
 2023      | PCDOB         | Arte, Cultura e Religião                    |         12 
 2023      | PCDOB         | Processo Legislativo e Atuação Parlamentar  |         10 
 2023      | PCDOB         | Administração Pública                       |         10 
 2023      | PCDOB         | Saúde                                       |          9 
 2023      | PCDOB         | Finanças Públicas e Orçamento               |          9 
 2023      | PCDOB         | Defesa e Segurança                          |          8 
 2023      | PCDOB         | Educação                                    |          5 
 2023      | PCDOB         | Indústria, Comércio e Serviços              |          5 
 2023      | PCDOB         | Direito e Defesa do Consumidor              |          4 
 2023      | PCDOB         | Política, Partidos e Eleições               |          4 
 2023      | PCDOB         | Comunicações                                |          4 
 2023      | PCDOB         | Previdência e Assistência Social            |          3 
 2023      | PCDOB         | Esporte e Lazer                             |          3 
 2023      | PCDOB         | Energia, Recursos Hídricos e Minerais       |          2 
 2023      | PCDOB         | Direito e Justiça                           |          2 
 2023      | PCDOB         | Viação, Transporte e Mobilidade             |          2 
 2023      | PCDOB         | Direito Penal e Processual Penal            |          2 
 2023      | PCDOB         | Agricultura, Pecuária, Pesca e Extrativismo |          1 
 2023      | PCDOB         | Ciência, Tecnologia e Inovação              |          1 
 2023      | PCDOB         | Meio Ambiente e Desenvolvimento Sustentável |          1 
 2023      | PCDOB         | Cidades e Desenvolvimento Urbano            |          1 
 2023      | PCDOB         | Relações Internacionais e Comércio Exterior |          1 
 2023      | PCDOB         | Direito Constitucional                      |          1 
 2023      | PCDOB         | Economia                                    |          1 
 2023      | PDT           | Saúde                                       |        214 
 2023      | PDT           | Educação                                    |        176 
 2023      | PDT           | Direitos Humanos e Minorias                 |        172 
 2023      | PDT           | Finanças Públicas e Orçamento               |        169 
 2023      | PDT           | Administração Pública                       |         99 
 2023      | PDT           | Trabalho e Emprego                          |         84 
 2023      | PDT           | Defesa e Segurança                          |         81 
 2023      | PDT           | Meio Ambiente e Desenvolvimento Sustentável |         79 
 2023      | PDT           | Viação, Transporte e Mobilidade             |         50 
 2023      | PDT           | Homenagens e Datas Comemorativas            |         41 
 2023      | PDT           | Indústria, Comércio e Serviços              |         37 
 2023      | PDT           | Previdência e Assistência Social            |         32 
 2023      | PDT           | Economia                                    |         31 
 2023      | PDT           | Direito Penal e Processual Penal            |         30 
 2023      | PDT           | Processo Legislativo e Atuação Parlamentar  |         28 
 2023      | PDT           | Esporte e Lazer                             |         25 
 2023      | PDT           | Energia, Recursos Hídricos e Minerais       |         23 
 2023      | PDT           | Cidades e Desenvolvimento Urbano            |         21 
 2023      | PDT           | Comunicações                                |         21 
 2023      | PDT           | Direito e Defesa do Consumidor              |         18 
 2023      | PDT           | Direito Civil e Processual Civil            |         16 
 2023      | PDT           | Arte, Cultura e Religião                    |         15 
 2023      | PDT           | Agricultura, Pecuária, Pesca e Extrativismo |         13 
 2023      | PDT           | Ciência, Tecnologia e Inovação              |         12 
 2023      | PDT           | Política, Partidos e Eleições               |          9 
 2023      | PDT           | Direito e Justiça                           |          7 
 2023      | PDT           | Relações Internacionais e Comércio Exterior |          6 
 2023      | PDT           | Turismo                                     |          4 
 2023      | PDT           | Direito Constitucional                      |          3 
 2023      | PDT           | Estrutura Fundiária                         |          2 
 2023      | PL            | Administração Pública                       |        552 
 2023      | PL            | Direitos Humanos e Minorias                 |        495 
 2023      | PL            | Defesa e Segurança                          |        483 
 2023      | PL            | Saúde                                       |        388 
 2023      | PL            | Finanças Públicas e Orçamento               |        383 
 2023      | PL            | Direito Penal e Processual Penal            |        249 
 2023      | PL            | Educação                                    |        194 
 2023      | PL            | Economia                                    |        187 
 2023      | PL            | Trabalho e Emprego                          |        174 
 2023      | PL            | Viação, Transporte e Mobilidade             |        171 
 2023      | PL            | Indústria, Comércio e Serviços              |        171 
 2023      | PL            | Meio Ambiente e Desenvolvimento Sustentável |        137 
 2023      | PL            | Arte, Cultura e Religião                    |        125 
 2023      | PL            | Relações Internacionais e Comércio Exterior |        121 
 2023      | PL            | Agricultura, Pecuária, Pesca e Extrativismo |        114 
 2023      | PL            | Estrutura Fundiária                         |        109 
 2023      | PL            | Homenagens e Datas Comemorativas            |        106 
 2023      | PL            | Previdência e Assistência Social            |         91 
 2023      | PL            | Comunicações                                |         75 
 2023      | PL            | Direito Civil e Processual Civil            |         74 
 2023      | PL            | Direito e Defesa do Consumidor              |         69 
 2023      | PL            | Energia, Recursos Hídricos e Minerais       |         69 
 2023      | PL            | Processo Legislativo e Atuação Parlamentar  |         65 
 2023      | PL            | Esporte e Lazer                             |         57 
 2023      | PL            | Cidades e Desenvolvimento Urbano            |         48 
 2023      | PL            | Política, Partidos e Eleições               |         42 
 2023      | PL            | Direito e Justiça                           |         40 
 2023      | PL            | Ciência, Tecnologia e Inovação              |         30 
 2023      | PL            | Turismo                                     |         27 
 2023      | PL            | Direito Constitucional                      |         13 
 2023      | PL            | Ciências Exatas e da Terra                  |          1 
 2023      | PODE          | Direitos Humanos e Minorias                 |        116 
 2023      | PODE          | Defesa e Segurança                          |         95 
 2023      | PODE          | Administração Pública                       |         87 
 2023      | PODE          | Saúde                                       |         77 
 2023      | PODE          | Finanças Públicas e Orçamento               |         64 
 2023      | PODE          | Educação                                    |         53 
 2023      | PODE          | Direito Penal e Processual Penal            |         50 
 2023      | PODE          | Meio Ambiente e Desenvolvimento Sustentável |         45 
 2023      | PODE          | Trabalho e Emprego                          |         40 
 2023      | PODE          | Viação, Transporte e Mobilidade             |         36 
 2023      | PODE          | Processo Legislativo e Atuação Parlamentar  |         23 
 2023      | PODE          | Indústria, Comércio e Serviços              |         23 
 2023      | PODE          | Economia                                    |         22 
 2023      | PODE          | Relações Internacionais e Comércio Exterior |         22 
 2023      | PODE          | Direito e Defesa do Consumidor              |         18 
 2023      | PODE          | Comunicações                                |         18 
 2023      | PODE          | Previdência e Assistência Social            |         17 
 2023      | PODE          | Agricultura, Pecuária, Pesca e Extrativismo |         15 
 2023      | PODE          | Política, Partidos e Eleições               |         15 
 2023      | PODE          | Homenagens e Datas Comemorativas            |         14 
 2023      | PODE          | Energia, Recursos Hídricos e Minerais       |         12 
 2023      | PODE          | Direito Civil e Processual Civil            |         12 
 2023      | PODE          | Arte, Cultura e Religião                    |         11 
 2023      | PODE          | Esporte e Lazer                             |         11 
 2023      | PODE          | Cidades e Desenvolvimento Urbano            |         11 
 2023      | PODE          | Estrutura Fundiária                         |          8 
 2023      | PODE          | Ciência, Tecnologia e Inovação              |          7 
 2023      | PODE          | Direito e Justiça                           |          4 
 2023      | PODE          | Direito Constitucional                      |          3 
 2023      | PODE          | Turismo                                     |          1 
 2023      | PODEMOS       | Homenagens e Datas Comemorativas            |          4 
 2023      | PODEMOS       | Direitos Humanos e Minorias                 |          2 
 2023      | PODEMOS       | Trabalho e Emprego                          |          2 
 2023      | PODEMOS       | Educação                                    |          1 
 2023      | PODEMOS       | Saúde                                       |          1 
 2023      | PP            | Direitos Humanos e Minorias                 |        193 
 2023      | PP            | Administração Pública                       |        165 
 2023      | PP            | Saúde                                       |        145 
 2023      | PP            | Finanças Públicas e Orçamento               |        145 
 2023      | PP            | Defesa e Segurança                          |        140 
 2023      | PP            | Educação                                    |        106 
 2023      | PP            | Meio Ambiente e Desenvolvimento Sustentável |         87 
 2023      | PP            | Viação, Transporte e Mobilidade             |         83 
 2023      | PP            | Indústria, Comércio e Serviços              |         79 
 2023      | PP            | Direito Penal e Processual Penal            |         79 
 2023      | PP            | Trabalho e Emprego                          |         71 
 2023      | PP            | Agricultura, Pecuária, Pesca e Extrativismo |         57 
 2023      | PP            | Homenagens e Datas Comemorativas            |         53 
 2023      | PP            | Economia                                    |         53 
 2023      | PP            | Energia, Recursos Hídricos e Minerais       |         45 
 2023      | PP            | Direito e Defesa do Consumidor              |         38 
 2023      | PP            | Direito Civil e Processual Civil            |         36 
 2023      | PP            | Previdência e Assistência Social            |         30 
 2023      | PP            | Estrutura Fundiária                         |         28 
 2023      | PP            | Arte, Cultura e Religião                    |         27 
 2023      | PP            | Relações Internacionais e Comércio Exterior |         27 
 2023      | PP            | Comunicações                                |         26 
 2023      | PP            | Cidades e Desenvolvimento Urbano            |         22 
 2023      | PP            | Processo Legislativo e Atuação Parlamentar  |         21 
 2023      | PP            | Esporte e Lazer                             |         19 
 2023      | PP            | Ciência, Tecnologia e Inovação              |         19 
 2023      | PP            | Política, Partidos e Eleições               |         17 
 2023      | PP            | Direito e Justiça                           |         12 
 2023      | PP            | Turismo                                     |         10 
 2023      | PP            | Direito Constitucional                      |          4 
 2023      | PRD           | Direitos Humanos e Minorias                 |          1 
 2023      | PRD           | Direito e Justiça                           |          1 
 2023      | PRD           | Meio Ambiente e Desenvolvimento Sustentável |          1 
 2023      | PRD           | Viação, Transporte e Mobilidade             |          1 
 2023      | PROS          | Finanças Públicas e Orçamento               |          9 
 2023      | PROS          | Administração Pública                       |          4 
 2023      | PROS          | Cidades e Desenvolvimento Urbano            |          4 
 2023      | PROS          | Direitos Humanos e Minorias                 |          3 
 2023      | PROS          | Viação, Transporte e Mobilidade             |          3 
 2023      | PROS          | Economia                                    |          2 
 2023      | PROS          | Processo Legislativo e Atuação Parlamentar  |          2 
 2023      | PROS          | Relações Internacionais e Comércio Exterior |          2 
 2023      | PROS          | Arte, Cultura e Religião                    |          2 
 2023      | PROS          | Saúde                                       |          2 
 2023      | PROS          | Defesa e Segurança                          |          2 
 2023      | PROS          | Direito Constitucional                      |          1 
 2023      | PROS          | Energia, Recursos Hídricos e Minerais       |          1 
 2023      | PROS          | Direito e Defesa do Consumidor              |          1 
 2023      | PROS          | Comunicações                                |          1 
 2023      | PROS          | Direito Penal e Processual Penal            |          1 
 2023      | PROS          | Direito Civil e Processual Civil            |          1 
 2023      | PSB           | Direitos Humanos e Minorias                 |        139 
 2023      | PSB           | Saúde                                       |         96 
 2023      | PSB           | Administração Pública                       |         78 
 2023      | PSB           | Finanças Públicas e Orçamento               |         62 
 2023      | PSB           | Educação                                    |         60 
 2023      | PSB           | Defesa e Segurança                          |         59 
 2023      | PSB           | Trabalho e Emprego                          |         54 
 2023      | PSB           | Homenagens e Datas Comemorativas            |         44 
 2023      | PSB           | Indústria, Comércio e Serviços              |         40 
 2023      | PSB           | Viação, Transporte e Mobilidade             |         33 
 2023      | PSB           | Direito e Defesa do Consumidor              |         32 
 2023      | PSB           | Direito Civil e Processual Civil            |         31 
 2023      | PSB           | Economia                                    |         26 
 2023      | PSB           | Direito Penal e Processual Penal            |         24 
 2023      | PSB           | Arte, Cultura e Religião                    |         23 
 2023      | PSB           | Meio Ambiente e Desenvolvimento Sustentável |         19 
 2023      | PSB           | Processo Legislativo e Atuação Parlamentar  |         18 
 2023      | PSB           | Esporte e Lazer                             |         18 
 2023      | PSB           | Previdência e Assistência Social            |         14 
 2023      | PSB           | Energia, Recursos Hídricos e Minerais       |         13 
 2023      | PSB           | Comunicações                                |         13 
 2023      | PSB           | Cidades e Desenvolvimento Urbano            |         11 
 2023      | PSB           | Ciência, Tecnologia e Inovação              |         10 
 2023      | PSB           | Política, Partidos e Eleições               |          8 
 2023      | PSB           | Direito e Justiça                           |          5 
 2023      | PSB           | Relações Internacionais e Comércio Exterior |          5 
 2023      | PSB           | Turismo                                     |          4 
 2023      | PSB           | Estrutura Fundiária                         |          2 
 2023      | PSB           | Agricultura, Pecuária, Pesca e Extrativismo |          2 
 2023      | PSB           | Direito Constitucional                      |          2 
 2023      | PSC           | Saúde                                       |          6 
 2023      | PSC           | Direitos Humanos e Minorias                 |          4 
 2023      | PSC           | Homenagens e Datas Comemorativas            |          4 
 2023      | PSC           | Arte, Cultura e Religião                    |          4 
 2023      | PSC           | Finanças Públicas e Orçamento               |          4 
 2023      | PSC           | Trabalho e Emprego                          |          3 
 2023      | PSC           | Defesa e Segurança                          |          3 
 2023      | PSC           | Processo Legislativo e Atuação Parlamentar  |          3 
 2023      | PSC           | Economia                                    |          2 
 2023      | PSC           | Direito Penal e Processual Penal            |          2 
 2023      | PSC           | Comunicações                                |          2 
 2023      | PSC           | Direito Civil e Processual Civil            |          2 
 2023      | PSC           | Previdência e Assistência Social            |          1 
 2023      | PSC           | Ciência, Tecnologia e Inovação              |          1 
 2023      | PSC           | Direito e Defesa do Consumidor              |          1 
 2023      | PSC           | Viação, Transporte e Mobilidade             |          1 
 2023      | PSC           | Turismo                                     |          1 
 2023      | PSC           | Direito e Justiça                           |          1 
 2023      | PSC           | Indústria, Comércio e Serviços              |          1 
 2023      | PSC           | Administração Pública                       |          1 
 2023      | PSC           | Relações Internacionais e Comércio Exterior |          1 
 2023      | PSC           | Direito Constitucional                      |          1 
 2023      | PSD           | Direitos Humanos e Minorias                 |        387 
 2023      | PSD           | Educação                                    |        291 
 2023      | PSD           | Defesa e Segurança                          |        243 
 2023      | PSD           | Finanças Públicas e Orçamento               |        214 
 2023      | PSD           | Meio Ambiente e Desenvolvimento Sustentável |        196 
 2023      | PSD           | Saúde                                       |        170 
 2023      | PSD           | Comunicações                                |        162 
 2023      | PSD           | Ciência, Tecnologia e Inovação              |        159 
 2023      | PSD           | Administração Pública                       |        137 
 2023      | PSD           | Economia                                    |         78 
 2023      | PSD           | Trabalho e Emprego                          |         76 
 2023      | PSD           | Direito Penal e Processual Penal            |         61 
 2023      | PSD           | Viação, Transporte e Mobilidade             |         56 
 2023      | PSD           | Indústria, Comércio e Serviços              |         54 
 2023      | PSD           | Homenagens e Datas Comemorativas            |         37 
 2023      | PSD           | Previdência e Assistência Social            |         36 
 2023      | PSD           | Processo Legislativo e Atuação Parlamentar  |         32 
 2023      | PSD           | Energia, Recursos Hídricos e Minerais       |         31 
 2023      | PSD           | Direito Civil e Processual Civil            |         27 
 2023      | PSD           | Direito e Defesa do Consumidor              |         26 
 2023      | PSD           | Agricultura, Pecuária, Pesca e Extrativismo |         25 
 2023      | PSD           | Política, Partidos e Eleições               |         19 
 2023      | PSD           | Arte, Cultura e Religião                    |         18 
 2023      | PSD           | Direito e Justiça                           |         14 
 2023      | PSD           | Cidades e Desenvolvimento Urbano            |         11 
 2023      | PSD           | Estrutura Fundiária                         |         10 
 2023      | PSD           | Relações Internacionais e Comércio Exterior |         10 
 2023      | PSD           | Esporte e Lazer                             |          9 
 2023      | PSD           | Direito Constitucional                      |          5 
 2023      | PSD           | Turismo                                     |          3 
 2023      | PSD           | Ciências Exatas e da Terra                  |          1 
 2023      | PSDB          | Direitos Humanos e Minorias                 |         41 
 2023      | PSDB          | Saúde                                       |         32 
 2023      | PSDB          | Finanças Públicas e Orçamento               |         31 
 2023      | PSDB          | Administração Pública                       |         22 
 2023      | PSDB          | Defesa e Segurança                          |         22 
 2023      | PSDB          | Trabalho e Emprego                          |         19 
 2023      | PSDB          | Processo Legislativo e Atuação Parlamentar  |         15 
 2023      | PSDB          | Viação, Transporte e Mobilidade             |         14 
 2023      | PSDB          | Direito e Defesa do Consumidor              |         11 
 2023      | PSDB          | Indústria, Comércio e Serviços              |         11 
 2023      | PSDB          | Direito Penal e Processual Penal            |          9 
 2023      | PSDB          | Relações Internacionais e Comércio Exterior |          7 
 2023      | PSDB          | Economia                                    |          6 
 2023      | PSDB          | Homenagens e Datas Comemorativas            |          6 
 2023      | PSDB          | Educação                                    |          6 
 2023      | PSDB          | Comunicações                                |          5 
 2023      | PSDB          | Esporte e Lazer                             |          5 
 2023      | PSDB          | Energia, Recursos Hídricos e Minerais       |          5 
 2023      | PSDB          | Meio Ambiente e Desenvolvimento Sustentável |          5 
 2023      | PSDB          | Política, Partidos e Eleições               |          5 
 2023      | PSDB          | Previdência e Assistência Social            |          4 
 2023      | PSDB          | Arte, Cultura e Religião                    |          4 
 2023      | PSDB          | Agricultura, Pecuária, Pesca e Extrativismo |          3 
 2023      | PSDB          | Cidades e Desenvolvimento Urbano            |          3 
 2023      | PSDB          | Direito Civil e Processual Civil            |          3 
 2023      | PSDB          | Estrutura Fundiária                         |          3 
 2023      | PSDB          | Direito e Justiça                           |          2 
 2023      | PSDB          | Direito Constitucional                      |          2 
 2023      | PSDB          | Ciência, Tecnologia e Inovação              |          1 
 2023      | PSOL          | Direitos Humanos e Minorias                 |        116 
 2023      | PSOL          | Administração Pública                       |         66 
 2023      | PSOL          | Educação                                    |         59 
 2023      | PSOL          | Saúde                                       |         45 
 2023      | PSOL          | Trabalho e Emprego                          |         38 
 2023      | PSOL          | Finanças Públicas e Orçamento               |         35 
 2023      | PSOL          | Defesa e Segurança                          |         35 
 2023      | PSOL          | Homenagens e Datas Comemorativas            |         25 
 2023      | PSOL          | Arte, Cultura e Religião                    |         23 
 2023      | PSOL          | Processo Legislativo e Atuação Parlamentar  |         18 
 2023      | PSOL          | Meio Ambiente e Desenvolvimento Sustentável |         17 
 2023      | PSOL          | Previdência e Assistência Social            |         12 
 2023      | PSOL          | Direito Penal e Processual Penal            |         12 
 2023      | PSOL          | Energia, Recursos Hídricos e Minerais       |         10 
 2023      | PSOL          | Comunicações                                |         10 
 2023      | PSOL          | Indústria, Comércio e Serviços              |         10 
 2023      | PSOL          | Direito Civil e Processual Civil            |          8 
 2023      | PSOL          | Direito e Defesa do Consumidor              |          7 
 2023      | PSOL          | Política, Partidos e Eleições               |          6 
 2023      | PSOL          | Viação, Transporte e Mobilidade             |          6 
 2023      | PSOL          | Ciência, Tecnologia e Inovação              |          6 
 2023      | PSOL          | Economia                                    |          6 
 2023      | PSOL          | Esporte e Lazer                             |          6 
 2023      | PSOL          | Cidades e Desenvolvimento Urbano            |          5 
 2023      | PSOL          | Estrutura Fundiária                         |          5 
 2023      | PSOL          | Direito e Justiça                           |          5 
 2023      | PSOL          | Relações Internacionais e Comércio Exterior |          4 
 2023      | PSOL          | Agricultura, Pecuária, Pesca e Extrativismo |          4 
 2023      | PSOL          | Turismo                                     |          1 
 2023      | PSOL          | Direito Constitucional                      |          1 
 2023      | PT            | Direitos Humanos e Minorias                 |        235 
 2023      | PT            | Administração Pública                       |        129 
 2023      | PT            | Trabalho e Emprego                          |        126 
 2023      | PT            | Educação                                    |        105 
 2023      | PT            | Saúde                                       |         94 
 2023      | PT            | Finanças Públicas e Orçamento               |         84 
 2023      | PT            | Homenagens e Datas Comemorativas            |         72 
 2023      | PT            | Defesa e Segurança                          |         62 
 2023      | PT            | Indústria, Comércio e Serviços              |         44 
 2023      | PT            | Direito Civil e Processual Civil            |         44 
 2023      | PT            | Direito Penal e Processual Penal            |         40 
 2023      | PT            | Agricultura, Pecuária, Pesca e Extrativismo |         39 
 2023      | PT            | Economia                                    |         37 
 2023      | PT            | Meio Ambiente e Desenvolvimento Sustentável |         37 
 2023      | PT            | Energia, Recursos Hídricos e Minerais       |         35 
 2023      | PT            | Arte, Cultura e Religião                    |         33 
 2023      | PT            | Viação, Transporte e Mobilidade             |         33 
 2023      | PT            | Previdência e Assistência Social            |         29 
 2023      | PT            | Processo Legislativo e Atuação Parlamentar  |         25 
 2023      | PT            | Comunicações                                |         20 
 2023      | PT            | Ciência, Tecnologia e Inovação              |         20 
 2023      | PT            | Direito e Defesa do Consumidor              |         18 
 2023      | PT            | Política, Partidos e Eleições               |         18 
 2023      | PT            | Esporte e Lazer                             |         17 
 2023      | PT            | Estrutura Fundiária                         |         15 
 2023      | PT            | Cidades e Desenvolvimento Urbano            |         15 
 2023      | PT            | Direito e Justiça                           |         14 
 2023      | PT            | Relações Internacionais e Comércio Exterior |          9 
 2023      | PT            | Turismo                                     |          5 
 2023      | PT            | Direito Constitucional                      |          3 
 2023      | PT            | Ciências Sociais e Humanas                  |          2 
 2023      | PT            | Ciências Exatas e da Terra                  |          1 
 2023      | PTB           | Direitos Humanos e Minorias                 |          1 
 2023      | PV            | Direitos Humanos e Minorias                 |         25 
 2023      | PV            | Administração Pública                       |         24 
 2023      | PV            | Educação                                    |         22 
 2023      | PV            | Finanças Públicas e Orçamento               |         20 
 2023      | PV            | Saúde                                       |         16 
 2023      | PV            | Trabalho e Emprego                          |         13 
 2023      | PV            | Processo Legislativo e Atuação Parlamentar  |         11 
 2023      | PV            | Economia                                    |          9 
 2023      | PV            | Energia, Recursos Hídricos e Minerais       |          8 
 2023      | PV            | Meio Ambiente e Desenvolvimento Sustentável |          8 
 2023      | PV            | Indústria, Comércio e Serviços              |          8 
 2023      | PV            | Previdência e Assistência Social            |          7 
 2023      | PV            | Direito Penal e Processual Penal            |          6 
 2023      | PV            | Ciência, Tecnologia e Inovação              |          5 
 2023      | PV            | Homenagens e Datas Comemorativas            |          5 
 2023      | PV            | Arte, Cultura e Religião                    |          5 
 2023      | PV            | Direito e Defesa do Consumidor              |          4 
 2023      | PV            | Agricultura, Pecuária, Pesca e Extrativismo |          4 
 2023      | PV            | Direito e Justiça                           |          4 
 2023      | PV            | Política, Partidos e Eleições               |          4 
 2023      | PV            | Defesa e Segurança                          |          3 
 2023      | PV            | Comunicações                                |          3 
 2023      | PV            | Esporte e Lazer                             |          3 
 2023      | PV            | Viação, Transporte e Mobilidade             |          2 
 2023      | PV            | Cidades e Desenvolvimento Urbano            |          1 
 2023      | PV            | Relações Internacionais e Comércio Exterior |          1 
 2023      | PV            | Direito Civil e Processual Civil            |          1 
 2023      | PV            | Direito Constitucional                      |          1 
 2023      | REDE          | Direitos Humanos e Minorias                 |         13 
 2023      | REDE          | Trabalho e Emprego                          |         10 
 2023      | REDE          | Administração Pública                       |          8 
 2023      | REDE          | Saúde                                       |          7 
 2023      | REDE          | Finanças Públicas e Orçamento               |          6 
 2023      | REDE          | Direito Penal e Processual Penal            |          6 
 2023      | REDE          | Educação                                    |          4 
 2023      | REDE          | Previdência e Assistência Social            |          3 
 2023      | REDE          | Defesa e Segurança                          |          3 
 2023      | REDE          | Energia, Recursos Hídricos e Minerais       |          3 
 2023      | REDE          | Processo Legislativo e Atuação Parlamentar  |          3 
 2023      | REDE          | Arte, Cultura e Religião                    |          2 
 2023      | REDE          | Estrutura Fundiária                         |          2 
 2023      | REDE          | Meio Ambiente e Desenvolvimento Sustentável |          2 
 2023      | REDE          | Agricultura, Pecuária, Pesca e Extrativismo |          2 
 2023      | REDE          | Direito e Defesa do Consumidor              |          2 
 2023      | REDE          | Viação, Transporte e Mobilidade             |          2 
 2023      | REDE          | Esporte e Lazer                             |          2 
 2023      | REDE          | Homenagens e Datas Comemorativas            |          1 
 2023      | REDE          | Relações Internacionais e Comércio Exterior |          1 
 2023      | REDE          | Indústria, Comércio e Serviços              |          1 
 2023      | REDE          | Cidades e Desenvolvimento Urbano            |          1 
 2023      | REDE          | Direito e Justiça                           |          1 
 2023      | REDE          | Comunicações                                |          1 
 2023      | REDE          | Ciência, Tecnologia e Inovação              |          1 
 2023      | REP           | Direitos Humanos e Minorias                 |          1 
 2023      | REP           | Saúde                                       |          1 
 2023      | REP           | Trabalho e Emprego                          |          1 
 2023      | REPUB         | Viação, Transporte e Mobilidade             |          1 
 2023      | REPUB         | Finanças Públicas e Orçamento               |          1 
 2023      | REPUBLICA     | Direitos Humanos e Minorias                 |          1 
 2023      | REPUBLICA     | Trabalho e Emprego                          |          1 
 2023      | REPUBLICANOS  | Direitos Humanos e Minorias                 |        279 
 2023      | REPUBLICANOS  | Administração Pública                       |        265 
 2023      | REPUBLICANOS  | Comunicações                                |        201 
 2023      | REPUBLICANOS  | Educação                                    |        198 
 2023      | REPUBLICANOS  | Finanças Públicas e Orçamento               |        180 
 2023      | REPUBLICANOS  | Saúde                                       |        178 
 2023      | REPUBLICANOS  | Ciência, Tecnologia e Inovação              |        174 
 2023      | REPUBLICANOS  | Defesa e Segurança                          |        123 
 2023      | REPUBLICANOS  | Meio Ambiente e Desenvolvimento Sustentável |         87 
 2023      | REPUBLICANOS  | Trabalho e Emprego                          |         82 
 2023      | REPUBLICANOS  | Direito Penal e Processual Penal            |         78 
 2023      | REPUBLICANOS  | Viação, Transporte e Mobilidade             |         56 
 2023      | REPUBLICANOS  | Previdência e Assistência Social            |         53 
 2023      | REPUBLICANOS  | Indústria, Comércio e Serviços              |         47 
 2023      | REPUBLICANOS  | Processo Legislativo e Atuação Parlamentar  |         40 
 2023      | REPUBLICANOS  | Economia                                    |         39 
 2023      | REPUBLICANOS  | Homenagens e Datas Comemorativas            |         39 
 2023      | REPUBLICANOS  | Estrutura Fundiária                         |         36 
 2023      | REPUBLICANOS  | Direito Civil e Processual Civil            |         34 
 2023      | REPUBLICANOS  | Direito e Defesa do Consumidor              |         32 
 2023      | REPUBLICANOS  | Arte, Cultura e Religião                    |         30 
 2023      | REPUBLICANOS  | Energia, Recursos Hídricos e Minerais       |         27 
 2023      | REPUBLICANOS  | Relações Internacionais e Comércio Exterior |         22 
 2023      | REPUBLICANOS  | Política, Partidos e Eleições               |         22 
 2023      | REPUBLICANOS  | Agricultura, Pecuária, Pesca e Extrativismo |         20 
 2023      | REPUBLICANOS  | Esporte e Lazer                             |         19 
 2023      | REPUBLICANOS  | Cidades e Desenvolvimento Urbano            |         15 
 2023      | REPUBLICANOS  | Direito e Justiça                           |         15 
 2023      | REPUBLICANOS  | Turismo                                     |          9 
 2023      | REPUBLICANOS  | Direito Constitucional                      |          7 
 2023      | S.PART.       | Processo Legislativo e Atuação Parlamentar  |          4 
 2023      | S.PART.       | Finanças Públicas e Orçamento               |          3 
 2023      | S.PART.       | Economia                                    |          2 
 2023      | S.PART.       | Direito Penal e Processual Penal            |          1 
 2023      | S.PART.       | Defesa e Segurança                          |          1 
 2023      | S.PART.       | Direito e Defesa do Consumidor              |          1 
 2023      | S.PART.       | Esporte e Lazer                             |          1 
 2023      | S.PART.       | Relações Internacionais e Comércio Exterior |          1 
 2023      | SOLIDARIEDADE | Saúde                                       |         36 
 2023      | SOLIDARIEDADE | Direitos Humanos e Minorias                 |         30 
 2023      | SOLIDARIEDADE | Finanças Públicas e Orçamento               |         28 
 2023      | SOLIDARIEDADE | Administração Pública                       |         21 
 2023      | SOLIDARIEDADE | Educação                                    |         18 
 2023      | SOLIDARIEDADE | Defesa e Segurança                          |         15 
 2023      | SOLIDARIEDADE | Direito Penal e Processual Penal            |         15 
 2023      | SOLIDARIEDADE | Direito e Defesa do Consumidor              |         14 
 2023      | SOLIDARIEDADE | Processo Legislativo e Atuação Parlamentar  |         13 
 2023      | SOLIDARIEDADE | Economia                                    |         12 
 2023      | SOLIDARIEDADE | Trabalho e Emprego                          |         11 
 2023      | SOLIDARIEDADE | Arte, Cultura e Religião                    |         10 
 2023      | SOLIDARIEDADE | Energia, Recursos Hídricos e Minerais       |          9 
