caminho;tamanho_bytes;tamanho_mb;linhas;colunas;hash_sha256;data_modificacao;nota_confiabilidade;status_confiabilidade;justificativa
tabelas/2025/votacoesOrientacoes-2025.csv;1100331;1.049;4947;7;9129e17a1869c5b03a4635d2e108a24bfb32c31ecfe9cca52f09708031cb381d;2026-05-29 23:52:12;100;Confiável;None
tabelas/2025/votacoesVotos-2025.csv;5488391;5.234;16408;12;537c4d15eff1f0d641d2c2fc9a1702aaa09b5d5291756c9fd7cc431075ddfc8b;2026-05-29 23:52:12;15;Crítico;"Unclosed quotes detected; No trailing newline; Temporal cutoff detected: only 9 months of data present; Size anomaly: 67.0% fewer rows than mean"
tabelas/2026/Ano-2026.csv;20070312;19.141;52268;32;39ba4dabb655a67ceb83adadfebfaa344b633645960d42ec154dd5e58f54c8f0;2026-05-29 23:52:12;80;Atenção;Size anomaly: 71.3% fewer rows than mean
tabelas/2026/eventos-2026.csv;587114;0.560;900;13;fe27d7ade8fb2dedddb253645abc847fafa6271066e5a81b0e06ddd2cb3ad32f;2026-05-29 23:52:12;50;Suspeito;"Size anomaly: 63.3% fewer rows than mean; API discrepancy: 322 rows missing compared to API"
tabelas/2026/eventosPresencaDeputados-2026.csv;5773289;5.506;36372;5;9a0ece759b4f17f12708bea469db3fa0b3536c8421e306cec8142fbe20098456;2026-05-29 23:52:12;50;Suspeito;"Size anomaly: 56.2% fewer rows than mean; API discrepancy: 322 rows missing compared to API"
tabelas/2026/proposicoes-2026.csv;22117283;21.093;25144;31;442c2cb91e5fb5b673300d8bdd3500caaf775c72ac0f8458a08b9cb6da0abc36;2026-05-29 23:52:12;80;Atenção;Critical referential integrity issue: 62.2% match with parent
tabelas/2026/proposicoesAutores-2026.csv;8356592;7.969;32944;12;9b45045a1a02ff0168e536c572bcf93ddbe0a57c675087bc4ffa12f21b4df9f3;2026-05-29 23:52:12;60;Suspeito;"Size anomaly: 55.5% fewer rows than mean; Critical referential integrity issue: 62.2% match with parent"
tabelas/2026/proposicoesTemas-2026.csv;1482393;1.414;12276;7;42d5c44a3bd232ebc2761abb0964d3e375443c0a7c6510fd32a1f9536ec53ab2;2026-05-29 23:52:12;60;Suspeito;"Size anomaly: 50.8% fewer rows than mean; Critical referential integrity issue: 62.2% match with parent"
tabelas/2026/votacoes-2026.csv;2677369;2.553;4279;20;637ee40208d98a9e364874c035694c6692abac2c3a4fa6a1e4dcbf8c800dcda9;2026-05-29 23:52:12;80;Atenção;Size anomaly: 56.5% fewer rows than mean
tabelas/2026/votacoesObjetos-2026.csv;8941448;8.527;20717;12;dfc321074fcb232c4d64ef74913d43524a744536497f7f3335c04bdfe6fd3646;2026-05-29 23:52:12;60;Suspeito;"Size anomaly: 47.0% fewer rows than mean; Critical referential integrity issue: 62.2% match with parent"
tabelas/2026/votacoesOrientacoes-2026.csv;269186;0.257;1183;7;b4c37cbcceca4c85ca1a519a04dbb1529c91524fb908cfcba778673f885ef1d7;2026-05-29 23:52:12;80;Atenção;Size anomaly: 68.1% fewer rows than mean
tabelas/2026/votacoesVotos-2026.csv;11679424;11.138;35064;12;a5e565f507a207fef19be86eb01294eafabd5d814299ab1cae5a1743ece4212a;2026-05-29 23:52:13;100;Confiável;None
tabelas/deputados.csv;1378783;1.315;7884;13;6cb30cf2be2d34436e544d34868a3cb01244a622a37f5747dc47fc9c6f5938b1;2026-06-06 20:18:36;100;Confiável;None
